,sentence,subject,object,hinnang
64,"“ Miski , keegi , mingi ***** jälitas ***** kõiki üle elu kõrbe ja oli määratud meid tabama , enne kui me taevasse jõuame .",vaim,mina,yes
65,"“ Miski , keegi , mingi ***** jälitas ***** kõiki üle elu kõrbe ja oli määratud meid tabama , enne kui me taevasse jõuame .",mina,vaim,no
66,“ ***** vahel häirib materiaalse kindlustunde ***** .,puudumine,mina,yes
67,“ ***** vahel häirib materiaalse kindlustunde ***** .,mina,puudumine,no
68,"Vesta Reest Salt Lake City sõjakäiguga miljoneid kroone teeninud ***** VEERPALU mäletab ka ***** , mil tal tuli treener Mati Alaverilt toiduraha laenata .",Andrus,aeg,yes
69,"Vesta Reest Salt Lake City sõjakäiguga miljoneid kroone teeninud ***** VEERPALU mäletab ka ***** , mil tal tuli treener Mati Alaverilt toiduraha laenata .",aeg,Andrus,no
70,"Aga minule serveeris ***** ***** ettevaatlikult , kartes , et äkki ma pettun , ” räägib Mari-Ann Kelam .",tema,asi,yes
71,"Aga minule serveeris ***** ***** ettevaatlikult , kartes , et äkki ma pettun , ” räägib Mari-Ann Kelam .",asi,tema,no
72,***** teeks ***** veel õnnelikumaks ?,mis,sina,yes
73,***** teeks ***** veel õnnelikumaks ?,sina,mis,no
74,Kas sinu ***** võlub ***** ?,aktsent,naine,yes
75,Kas sinu ***** võlub ***** ?,naine,aktsent,no
76,"“ ***** annab ***** , et ei tee tühja tööd .",see,teadmine,yes
77,"“ ***** annab ***** , et ei tee tühja tööd .",teadmine,see,no
78,"“ Eks ***** panen ka roosad ***** jalga ja lähen Draamateatri ette piketeerima , ” viskab kibestunud Riisalu mõru nalja .",mina,kummik,yes
79,"“ Eks ***** panen ka roosad ***** jalga ja lähen Draamateatri ette piketeerima , ” viskab kibestunud Riisalu mõru nalja .",kummik,mina,no
80,"Nii ***** kui ka välisinvestorid viisid oma ***** riigist välja , intressimäärad tõusid järsult ja jaanuaris hüljati valuutakomitee süsteem .",argentiinlane,raha,yes
81,"Nii ***** kui ka välisinvestorid viisid oma ***** riigist välja , intressimäärad tõusid järsult ja jaanuaris hüljati valuutakomitee süsteem .",raha,argentiinlane,no
82,“ ***** vene ***** ei häbene .,mees,tunne,yes
83,“ ***** vene ***** ei häbene .,tunne,mees,no
84,"Vähendab ju sotsiaalmaksu ***** pensionifondide maksetega riigi ***** , samas tuleb riigil endiselt ülal pidada varem pensionile siirdunud inimesi .",asendamine,maksutulu,yes
85,"Vähendab ju sotsiaalmaksu ***** pensionifondide maksetega riigi ***** , samas tuleb riigil endiselt ülal pidada varem pensionile siirdunud inimesi .",maksutulu,asendamine,no
86,"***** pistab ***** endale viivuks püksi , teeb seejuures nägusid ja selgitab : “ Ta suskas mulle kingiks mõeldud Hollywoodi klubikaardi millegipärast endale korraks s i n n a !",Tanel,käsi,yes
87,"***** pistab ***** endale viivuks püksi , teeb seejuures nägusid ja selgitab : “ Ta suskas mulle kingiks mõeldud Hollywoodi klubikaardi millegipärast endale korraks s i n n a !",käsi,Tanel,no
88,1997. a. mais korraldas ***** ***** Narva 1. ja 4. kooli rekonstrueerimiseks .,linnavalitsus,konkurss,yes
89,1997. a. mais korraldas ***** ***** Narva 1. ja 4. kooli rekonstrueerimiseks .,konkurss,linnavalitsus,no
90,***** on pannud tervishoiuametnikke korraldama ***** päevitamise populaarsuse vähendamiseks : “ Pane särk selga !,see,kampaania,yes
91,***** on pannud tervishoiuametnikke korraldama ***** päevitamise populaarsuse vähendamiseks : “ Pane särk selga !,kampaania,see,no
92,"Möödunud nädalal saatis üks kunstiülikooli ***** toimetusse ***** , milles palus Ané telefoni või meiliaadressi .",tudeng,meil,yes
93,"Möödunud nädalal saatis üks kunstiülikooli ***** toimetusse ***** , milles palus Ané telefoni või meiliaadressi .",meil,tudeng,no
94,"Moskva ja Washingtoni normaalset ***** segab suuresti ***** , et Venemaa ei taha leppida USA kui ainukese üliriigi staatusega .",asjaolu,suhtlus,no
95,"Moskva ja Washingtoni normaalset ***** segab suuresti ***** , et Venemaa ei taha leppida USA kui ainukese üliriigi staatusega .",suhtlus,asjaolu,yes
96,"“ ***** meenutab ***** , mille pärast hommikueine naisele sängi serveerimine tabuks sai : “ Ükskord , jah , kallasin kohvi voodisse .",Eduard,juhtum,yes
97,"“ ***** meenutab ***** , mille pärast hommikueine naisele sängi serveerimine tabuks sai : “ Ükskord , jah , kallasin kohvi voodisse .",juhtum,Eduard,no
98,Kirjutajana on ***** ***** alati inspireerinud .,see,mina,yes
99,Kirjutajana on ***** ***** alati inspireerinud .,mina,see,no
100,Eestlaste madal ***** võib ***** ehmatada .,reiting,palju,yes
101,Eestlaste madal ***** võib ***** ehmatada .,palju,reiting,no
102,"Mõnes mõttes annab ***** küll ***** , aga samas ei garanteeri tulemust .",raha,eelis,yes
103,"Mõnes mõttes annab ***** küll ***** , aga samas ei garanteeri tulemust .",eelis,raha,no
104,"2001. aasta seksikaimaks naiseks valitud ***** Saagim õigustab taas oma ***** , rääkides järgnevas intervjuus rabava avameelsusega seksist ja vananemishirmust .",Anu,tiitel,yes
105,"2001. aasta seksikaimaks naiseks valitud ***** Saagim õigustab taas oma ***** , rääkides järgnevas intervjuus rabava avameelsusega seksist ja vananemishirmust .",tiitel,Anu,no
106,Kas need ***** tähendavad sulle ***** ?,auhind,miski,yes
107,Kas need ***** tähendavad sulle ***** ?,miski,auhind,no
108,"Teadaolevalt soodsaimat ***** pakub ***** nimega Unitil : 2,4 USA senti ehk 32 Eesti senti kilovatt-tunni eest .",kompanii,hind,yes
109,"Teadaolevalt soodsaimat ***** pakub ***** nimega Unitil : 2,4 USA senti ehk 32 Eesti senti kilovatt-tunni eest .",hind,kompanii,no
110,” Siiras ***** sulatab ***** ning Brainstorm annab The Cranberriese tuuri ühe menukama soojenduskontserdi .,vabandus,publik,yes
111,” Siiras ***** sulatab ***** ning Brainstorm annab The Cranberriese tuuri ühe menukama soojenduskontserdi .,publik,vabandus,no
112,1994. a. pöörasid kutsumata ***** Alas-Eweco ***** segi ja viisid minema neli seifi .,külaline,kontor,yes
113,1994. a. pöörasid kutsumata ***** Alas-Eweco ***** segi ja viisid minema neli seifi .,kontor,külaline,no
114,Täielikult ***** ***** kellelegi avada ei saa ja ma ei saa seda ka kelleltki teiselt nõuda .,mina,ise,yes
115,Täielikult ***** ***** kellelegi avada ei saa ja ma ei saa seda ka kelleltki teiselt nõuda .,ise,mina,no
116,Kõva ***** võidab ikka kõhkleva ***** !,sõna,vägi,yes
117,Kõva ***** võidab ikka kõhkleva ***** !,vägi,sõna,yes
118,"“ Kui midagi peaks valesti minema , saab ***** ***** endale .",pank,kõik,yes
119,"“ Kui midagi peaks valesti minema , saab ***** ***** endale .",kõik,pank,no
120,"Kõige paremini iseloomustab seda ***** ingliskeelne ***** pain in ass ( valu tagumikus ) , ” räägib Ülle .",väljend,tunne,no
121,"Kõige paremini iseloomustab seda ***** ingliskeelne ***** pain in ass ( valu tagumikus ) , ” räägib Ülle .",tunne,väljend,yes
122,"Üleminekujärgus Ungari , Poola ja Tshehhi ***** vajavad mitme eksperdi arvates ***** esmajoones majanduse edendamiseks .",vabariik,raha,yes
123,"Üleminekujärgus Ungari , Poola ja Tshehhi ***** vajavad mitme eksperdi arvates ***** esmajoones majanduse edendamiseks .",raha,vabariik,no
124,"***** põhjendab Siiri ***** sellega , et neiu on liiga vaikne ning vaatajatel pole teda huvitav jälgida .",zhürii,läbikukkumine,yes
125,"***** põhjendab Siiri ***** sellega , et neiu on liiga vaikne ning vaatajatel pole teda huvitav jälgida .",läbikukkumine,zhürii,no
126,"***** Tarmo Urb põimib kõik need ***** üheks kimbuks ja tõdeb , et 21. sajandi suurim defitsiit on eetika .",muusik,teema,yes
127,"***** Tarmo Urb põimib kõik need ***** üheks kimbuks ja tõdeb , et 21. sajandi suurim defitsiit on eetika .",teema,muusik,no
128,***** ***** selleks ajendas ?,mis,sina,yes
129,***** ***** selleks ajendas ?,sina,mis,no
130,***** sulle ***** valib ?,kes,riie,yes
131,***** sulle ***** valib ?,riie,kes,no
132,” ***** tähendavad tööpuuduses ägaval liidumaal vastikut ***** .,võõrtööline,konkurent,yes
133,” ***** tähendavad tööpuuduses ägaval liidumaal vastikut ***** .,konkurent,võõrtööline,no
134,"Aastal 1991 epohhiloonud ***** maailmapoliitikas tõid kaasa külma sõja ***** , N Liidu lagunemise , jõudude ümberpaigutuse ning kestva tasakaalutuse maailmas .",sündmus,lõpp,yes
135,"Aastal 1991 epohhiloonud ***** maailmapoliitikas tõid kaasa külma sõja ***** , N Liidu lagunemise , jõudude ümberpaigutuse ning kestva tasakaalutuse maailmas .",lõpp,sündmus,no
136,"“ Venekeelne ***** võib tekitada ***** , sest minu teoses põrkuvad kokku Ameerika , Venemaa ja idariikide huvid .",variant,probleem,yes
137,"“ Venekeelne ***** võib tekitada ***** , sest minu teoses põrkuvad kokku Ameerika , Venemaa ja idariikide huvid .",probleem,variant,no
138,Vägisi tekitab linna hea ***** negatiivse ***** : koduste laste ja perekonna asotsiaalsuse vahele käib Tartus võrdusmärk .,tahe,seos,yes
139,Vägisi tekitab linna hea ***** negatiivse ***** : koduste laste ja perekonna asotsiaalsuse vahele käib Tartus võrdusmärk .,seos,tahe,no
140,"Tegelikult ei tee ***** mitte ***** , vaid raha .",inimene,reegel,yes
141,"Tegelikult ei tee ***** mitte ***** , vaid raha .",reegel,inimene,no
142,Anne-Mari Alver Moefirma Escada ***** Eestis ÜLLE KALDVEE on leidnud suurepärase ***** tutvustada Escada tooteid otse võimalikule sihtgrupile .,esindaja,moodus,yes
143,Anne-Mari Alver Moefirma Escada ***** Eestis ÜLLE KALDVEE on leidnud suurepärase ***** tutvustada Escada tooteid otse võimalikule sihtgrupile .,moodus,esindaja,no
144,Samas on ***** alati usaldanud ***** .,itaallane,intuitsioon,yes
145,Samas on ***** alati usaldanud ***** .,intuitsioon,itaallane,no
146,***** toovad palju ***** .,asi,rõõm,yes
147,***** toovad palju ***** .,rõõm,asi,yes
148,***** mängid filmis ka ***** .,sina,ema,yes
149,***** mängid filmis ka ***** .,ema,sina,no
150,"Aga kui ***** kohtab ***** , kellesse oli 16aastasena kõrvadeni-ülepea armunud ?",tema,noormees,yes
151,"Aga kui ***** kohtab ***** , kellesse oli 16aastasena kõrvadeni-ülepea armunud ?",noormees,tema,yes
152,"Noh , miinimumprogrammi raames ***** ikka vaba ***** leiame .",mina,aeg,no
153,"Noh , miinimumprogrammi raames ***** ikka vaba ***** leiame .",aeg,mina,no
154,1976. aastal kõrvaldasid ***** KGB abil Inglismaal emigrandist ***** Georgi Markovi .,bulgaarlane,kirjanik,yes
155,1976. aastal kõrvaldasid ***** KGB abil Inglismaal emigrandist ***** Georgi Markovi .,kirjanik,bulgaarlane,yes
156,"Kõige suuremat ***** tekitas ***** , et Sasha ei nõustunud sööma ega jooma .",tõik,mure,yes
157,"Kõige suuremat ***** tekitas ***** , et Sasha ei nõustunud sööma ega jooma .",mure,tõik,no
158,"“ ***** sünnitab ***** , ” võtab kokku natsismiohvrite saatust uurinud kunagine KGB ohvitser , kelle omaksed lasid sakslased hukata .",vägivald,vägivald,yes
159,"“ ***** sünnitab ***** , ” võtab kokku natsismiohvrite saatust uurinud kunagine KGB ohvitser , kelle omaksed lasid sakslased hukata .",vägivald,vägivald,yes
160,"“ Õpiku ***** võtab ***** , teine kulub täpsustusteks , parandusteks ja trükkimiseks , ” kirjeldab Avita kirjastuse juht Lii Aunaste õpiku valmimise protsessi .",kirjutamine,aasta,yes
161,"“ Õpiku ***** võtab ***** , teine kulub täpsustusteks , parandusteks ja trükkimiseks , ” kirjeldab Avita kirjastuse juht Lii Aunaste õpiku valmimise protsessi .",aasta,kirjutamine,no
162,***** nägi ***** sellelt teelt välja sõitmas ja rohkem kui 45 meetri kõrguselt kaljult alla kukkumas .,tema,mina,yes
163,***** nägi ***** sellelt teelt välja sõitmas ja rohkem kui 45 meetri kõrguselt kaljult alla kukkumas .,mina,tema,yes
164,"” ***** kontrollib Palestiina alalt ***** , sissesõidul pole dokumenti vaja .",Iisrael,väljumine,yes
165,"” ***** kontrollib Palestiina alalt ***** , sissesõidul pole dokumenti vaja .",väljumine,Iisrael,no
166,***** on soosinud ka maailma riikide ***** .,maksupoliitika,see,no
167,***** on soosinud ka maailma riikide ***** .,see,maksupoliitika,yes
168,"Et see teooria pole laest võetud , ***** kinnitab ka hiljutine Harvardi teadlaste ***** .",uuring,see,yes
169,"Et see teooria pole laest võetud , ***** kinnitab ka hiljutine Harvardi teadlaste ***** .",see,uuring,no
170,Samal ajal said ***** ka radikaalsed feministlikud ***** .,idee,algus,yes
171,Samal ajal said ***** ka radikaalsed feministlikud ***** .,algus,idee,no
172,Sisemistest probleemidest tõstab ***** Läti ja Leedu puhul esile ***** vene vähemusega .,uurimus,suhe,yes
173,Sisemistest probleemidest tõstab ***** Läti ja Leedu puhul esile ***** vene vähemusega .,suhe,uurimus,no
174,” Kas ***** tunned ka Bruce'i endist ***** Demi Moore'i ?,sina,kaasa,yes
175,” Kas ***** tunned ka Bruce'i endist ***** Demi Moore'i ?,kaasa,sina,no
176,Soome ***** ning veidi hiljem ka Soome laevaehitajad seadsid kahtluse alla Eesti meremeeste ***** .,ametiühing,oskus,yes
177,Soome ***** ning veidi hiljem ka Soome laevaehitajad seadsid kahtluse alla Eesti meremeeste ***** .,oskus,ametiühing,no
178,"Wolfi ***** leidis neid ***** , tuhandete kaupa .",teenistus,inimene,yes
179,"Wolfi ***** leidis neid ***** , tuhandete kaupa .",inimene,teenistus,no
180,"***** ***** enne korda ei teinud , raha oli vähe .",riik,elamu,yes
181,"***** ***** enne korda ei teinud , raha oli vähe .",elamu,riik,no
182,Erakorralist ***** edastas ***** või ministriabi .,minister,info,yes
183,Erakorralist ***** edastas ***** või ministriabi .,info,minister,no
184,"***** afisheerib ***** ja muud maist majandust , rahva juurdepääs vaimsele rikkusele teda suurt ei huvita .",riik,pangandus,yes
185,"***** afisheerib ***** ja muud maist majandust , rahva juurdepääs vaimsele rikkusele teda suurt ei huvita .",pangandus,riik,no
186,***** aga pälvivad alluvatelt ***** vastavalt pirukajagamisel hangitud noosi suurusele .,teine,tunnustus,yes
187,***** aga pälvivad alluvatelt ***** vastavalt pirukajagamisel hangitud noosi suurusele .,tunnustus,teine,no
188,"Ave-Stefanie Hogan-Isotamme ***** muudab veelgi saladuslikumaks ***** , et tema nime , telefoninumbrit ega aadressi ei tea ükski tegutsev infoliin .",tõik,isik,yes
189,"Ave-Stefanie Hogan-Isotamme ***** muudab veelgi saladuslikumaks ***** , et tema nime , telefoninumbrit ega aadressi ei tea ükski tegutsev infoliin .",isik,tõik,no
190,"Läbi aegade pole ***** ***** sellistesse asjadesse eriti seganud , teadust ja religiooni on peetud koguni teineteist välistavateks .",teadus,ise,yes
191,"Läbi aegade pole ***** ***** sellistesse asjadesse eriti seganud , teadust ja religiooni on peetud koguni teineteist välistavateks .",ise,teadus,no
192,"Pärast kontserti väljendas ***** mulle lühikeses eravestluses omapoolset tänulikku ***** meie publiku üle ja tundus tõepoolest , et see polnud sugugi üksnes viisakus .",kuningas,vaimustus,yes
193,"Pärast kontserti väljendas ***** mulle lühikeses eravestluses omapoolset tänulikku ***** meie publiku üle ja tundus tõepoolest , et see polnud sugugi üksnes viisakus .",vaimustus,kuningas,no
194,"***** panigi Vikberile ***** kinni , kuna Bulgaaria vabariigi relvastuses ei ole 5,45 mm laskemoona kasutavaid relvi .",Komisjon,tee,yes
195,"***** panigi Vikberile ***** kinni , kuna Bulgaaria vabariigi relvastuses ei ole 5,45 mm laskemoona kasutavaid relvi .",tee,Komisjon,no
196,"***** nõuab poliitilist ***** , konsensust alliansis , parlamentide konsensust .",see,protsess,yes
197,"***** nõuab poliitilist ***** , konsensust alliansis , parlamentide konsensust .",protsess,see,no
198,Väga ilusasti ütles see ***** ***** .,daam,telefon,no
199,Väga ilusasti ütles see ***** ***** .,telefon,daam,no
