,sentence,subject,object,hinnang
35,"Kui kutsekool Kallastel suletakse , tähendab ***** veel ühte tühja ***** keskväljaku ääres .",hoone,see,no
36,***** on lühiajalises perspektiivis ***** väga hästi välja mänginud .,Vähi,olukord,yes
37,***** on lühiajalises perspektiivis ***** väga hästi välja mänginud .,olukord,Vähi,no
38,"Kui tänavu jõuaksid prantslased finaali , jagaks ühtsama ***** korraga ***** Prantsusmaa elanikkonnast .",kolmveerand,kirg,yes
39,"Kui tänavu jõuaksid prantslased finaali , jagaks ühtsama ***** korraga ***** Prantsusmaa elanikkonnast .",kirg,kolmveerand,no
40,Eelmise reede ***** ajas ***** Kadrioru pargi tiigil ärevusse .,õhtupoolik,luik,yes
41,Eelmise reede ***** ajas ***** Kadrioru pargi tiigil ärevusse .,luik,õhtupoolik,no
42,***** eelistate vene ***** ?,sina,keel,yes
43,***** eelistate vene ***** ?,keel,sina,no
44,Peale muusika armastab ***** ka ***** .,tema,kirjandus,yes
45,Peale muusika armastab ***** ka ***** .,kirjandus,tema,no
46,"Kõik ***** kokku lõi kooli omaenda ***** ja kultuuri , mis kummalisel kombel jaksas selle maja seinte vahel püsivalt valitseda ka veel aastakümneid pärast gümnaasiumi likvideerimist .",see,vaimsus,yes
47,"Kõik ***** kokku lõi kooli omaenda ***** ja kultuuri , mis kummalisel kombel jaksas selle maja seinte vahel püsivalt valitseda ka veel aastakümneid pärast gümnaasiumi likvideerimist .",vaimsus,see,no
48,Päris esimest ***** ***** kellestki enam nii väga ei usalda .,mina,pilt,yes
49,Päris esimest ***** ***** kellestki enam nii väga ei usalda .,pilt,mina,no
50,Ülalmainitud ***** soodustavad tugevate superklubide ***** .,suundumus,teke,yes
51,Ülalmainitud ***** soodustavad tugevate superklubide ***** .,teke,suundumus,no
52,"Ühiskonna ***** lõpetavad harva ***** , sagedasem on assimileerumine , mandumine , hajumine jms .",revolutsioon,eksistents,yes
53,"Ühiskonna ***** lõpetavad harva ***** , sagedasem on assimileerumine , mandumine , hajumine jms .",eksistents,revolutsioon,no
54,Laeva ***** moodustavad lisaks viiele mehele ka loendamatud ***** .,prussakas,meeskond,no
55,Laeva ***** moodustavad lisaks viiele mehele ka loendamatud ***** .,meeskond,prussakas,yes
56,"Kusagilt on ***** jäänud ka ***** , et eestlastel puudub metafüüsiline tõmme - nii asised ja pragmaatilised on nad .",väide,kõrv,yes
57,"Kusagilt on ***** jäänud ka ***** , et eestlastel puudub metafüüsiline tõmme - nii asised ja pragmaatilised on nad .",kõrv,väide,no
58,***** ***** senistest missidest enim hindad ?,sina,kes,yes
59,***** ***** senistest missidest enim hindad ?,kes,sina,no
60,Ja miks ei võinud ***** vägitükkidele ajada ka sadismile kalduv ***** .,loomus,noormees,no
61,Ja miks ei võinud ***** vägitükkidele ajada ka sadismile kalduv ***** .,noormees,loomus,no
62,"Prantsuse konjakidünastia ***** , perefirma Larsen omanikku Frederic Larsenit ( 43 , keskel ) seob Eestiga üsna omapärane ***** .",seik,järeltulija,no
63,"Prantsuse konjakidünastia ***** , perefirma Larsen omanikku Frederic Larsenit ( 43 , keskel ) seob Eestiga üsna omapärane ***** .",järeltulija,seik,yes
64,***** teeks ***** palju nooremaks .,see,tema,yes
65,***** teeks ***** palju nooremaks .,tema,see,yes
66,"Võsul , kus Georg sõpradega suvilat üürib , on ***** naabrite sõnul parasjagu ***** teinud .",tema,peavalu,yes
67,"Võsul , kus Georg sõpradega suvilat üürib , on ***** naabrite sõnul parasjagu ***** teinud .",peavalu,tema,no
68,"Kurkse ***** paljastas nõrgad ***** Eesti riigikaitsesüsteemis , eriti tehnilise ja seadusandliku poole pealt ning loodetavasti tehakse nüüd ka vajalikke jõupingutusi nende puuduste kõrvaldamiseks .",õnnetus,koha,yes
69,"Kurkse ***** paljastas nõrgad ***** Eesti riigikaitsesüsteemis , eriti tehnilise ja seadusandliku poole pealt ning loodetavasti tehakse nüüd ka vajalikke jõupingutusi nende puuduste kõrvaldamiseks .",koha,õnnetus,no
70,” ***** painet viskiga leevendada andis vastupidise ***** .,katse,tulemus,yes
71,” ***** painet viskiga leevendada andis vastupidise ***** .,tulemus,katse,no
72,"Pere elu feminiinset , emotsionaalset ***** esindab ***** , maskuliinne , ratsionaalne iva tuleb Hillarylt .",Bill,pool,yes
73,"Pere elu feminiinset , emotsionaalset ***** esindab ***** , maskuliinne , ratsionaalne iva tuleb Hillarylt .",pool,Bill,no
74,***** ei mäletagi ***** jõule .,mina,see,yes
75,***** ei mäletagi ***** jõule .,see,mina,no
76,Praegu külastab ***** vähemalt iga kolmas ***** .,raamatukogu,elanik,no
77,Praegu külastab ***** vähemalt iga kolmas ***** .,elanik,raamatukogu,yes
78,“ ***** naudin Bondi-tüdrukuks ***** .,mina,olemine,yes
79,“ ***** naudin Bondi-tüdrukuks ***** .,olemine,mina,no
80,***** teeb neist lihtsa ***** : sel maa-alal paiknevad elamud tuleb lammutada .,tema,järeldus,yes
81,***** teeb neist lihtsa ***** : sel maa-alal paiknevad elamud tuleb lammutada .,järeldus,tema,no
82,"***** peseb ***** ja ütleb järjekorras seisjatele , et minge pesuruumi , ma panen sinise lambi põlema , pisikute vastu .",koristaja,põrand,yes
83,"***** peseb ***** ja ütleb järjekorras seisjatele , et minge pesuruumi , ma panen sinise lambi põlema , pisikute vastu .",põrand,koristaja,no
84,"Oma ***** esindas ***** aga kuni aprillini varjununa metsatalus , mitte Toompeal .",Savisaar,valija,yes
85,"Oma ***** esindas ***** aga kuni aprillini varjununa metsatalus , mitte Toompeal .",valija,Savisaar,no
86,"Kui Eesti hakkas 1992. a. viisakohustuse kaotamist taotlema , panid ***** vastu ***** , et meil puudub kontroll oma territooriumi üle , et siin valitseb segadus immigratsioonipoliitikas ning pole aktsepteeritavaid reisidokumente .",soomlane,argument,yes
87,"Kui Eesti hakkas 1992. a. viisakohustuse kaotamist taotlema , panid ***** vastu ***** , et meil puudub kontroll oma territooriumi üle , et siin valitseb segadus immigratsioonipoliitikas ning pole aktsepteeritavaid reisidokumente .",argument,soomlane,no
88,Pulli ***** esindab meie nn. Kunda kultuuri varast ***** .,asula,aste,yes
89,Pulli ***** esindab meie nn. Kunda kultuuri varast ***** .,aste,asula,yes
90,"“ ***** isiklikult eelistan ***** , nagu näiteks must nahkpintsak ja valged särgid , ” lausus Elle , kes väljamüügil põrkas ninapidi kokku ka oma kunagise kallima Tim Jeffriesiga , kes nüüd , pärast hiljutist lahkuminekut Claudia Schifferist , on taas vaba ja vallaline .",mina,klassik,yes
91,"“ ***** isiklikult eelistan ***** , nagu näiteks must nahkpintsak ja valged särgid , ” lausus Elle , kes väljamüügil põrkas ninapidi kokku ka oma kunagise kallima Tim Jeffriesiga , kes nüüd , pärast hiljutist lahkuminekut Claudia Schifferist , on taas vaba ja vallaline .",klassik,mina,no
92,"See ***** muudaks kahe inimese ***** sotsiaalselt tunnustatuks , mida teinekord hotellides või kurjade ämmade ees hädasti tarvis läheb .",akt,ühendus,no
93,"See ***** muudaks kahe inimese ***** sotsiaalselt tunnustatuks , mida teinekord hotellides või kurjade ämmade ees hädasti tarvis läheb .",ühendus,akt,yes
94,"Siseministeeriumi põhimääruse järgi “ vastutab ***** täpse ja otstarbeka täitmise eest ” ***** Toots , kes selgitab rahulikult : “ Siseministeeriumil ei ole automajandit ja meie rendime autosid politseilt .",kantsler,eelarve,yes
95,"Siseministeeriumi põhimääruse järgi “ vastutab ***** täpse ja otstarbeka täitmise eest ” ***** Toots , kes selgitab rahulikult : “ Siseministeeriumil ei ole automajandit ja meie rendime autosid politseilt .",eelarve,kantsler,no
96,Vastupidi - ***** peab ***** üheks lõbusaimaks seigaks viimasel ajal .,filminäitleja,see,yes
97,Vastupidi - ***** peab ***** üheks lõbusaimaks seigaks viimasel ajal .,see,filminäitleja,no
98,"Ja kõik oma ***** lõpetasin ***** sellega , et mu taskud olid täis väikseid valgeid paberitükikesi , millele olin päeval märkmeid teinud .",mina,päev,yes
99,"Ja kõik oma ***** lõpetasin ***** sellega , et mu taskud olid täis väikseid valgeid paberitükikesi , millele olin päeval märkmeid teinud .",päev,mina,no
100,Kuidas ***** ***** tähistasite ?,sina,see,yes
101,Kuidas ***** ***** tähistasite ?,see,sina,no
102,Traktorist Kõllametsa ***** kodumets maha võtta vallandas ***** sellistest .,otsus,üks,yes
103,Traktorist Kõllametsa ***** kodumets maha võtta vallandas ***** sellistest .,üks,otsus,no
104,Aga ka see raske ***** leidis oma ***** tänu armastusele jumala vastu .,moment,lahendus,yes
105,Aga ka see raske ***** leidis oma ***** tänu armastusele jumala vastu .,lahendus,moment,no
106,Poisi kohta ***** ***** loomulikult öelda ei saa .,mina,seesama,yes
107,Poisi kohta ***** ***** loomulikult öelda ei saa .,seesama,mina,no
108,"Massilised ***** , piinamised ja avalikud hukkamised on mässumeelsete ***** viimasel kahel aastal tublisti vähendanud .",vahistamine,ind,yes
109,"Massilised ***** , piinamised ja avalikud hukkamised on mässumeelsete ***** viimasel kahel aastal tublisti vähendanud .",ind,vahistamine,no
110,Seltskond Noorukese poplaulja Billie Piperi ootamatu ***** briti miljonäri ja DJ Chris Evansiga on paksu ***** tekitanud .,abiellumine,pahameel,yes
111,Seltskond Noorukese poplaulja Billie Piperi ootamatu ***** briti miljonäri ja DJ Chris Evansiga on paksu ***** tekitanud .,pahameel,abiellumine,no
112,Meie arvukuse kiire ***** ja prognoositav uus immigratsioonilaine sunnib ***** senist muulastepoliitikat revideerima .,kahanemine,mina,yes
113,Meie arvukuse kiire ***** ja prognoositav uus immigratsioonilaine sunnib ***** senist muulastepoliitikat revideerima .,mina,kahanemine,no
114,"Enne New Yorgi office'isse tööle asumist sai ***** ***** kuu aega Londoni kontoris praktiseerida - proovimaks , kas talle seal meeldib .",Piret,võimalus,yes
115,"Enne New Yorgi office'isse tööle asumist sai ***** ***** kuu aega Londoni kontoris praktiseerida - proovimaks , kas talle seal meeldib .",võimalus,Piret,no
116,“ ***** soovib ***** .,tema,anonüümsus,yes
117,“ ***** soovib ***** .,anonüümsus,tema,no
118,Seda ***** mõistsin ***** küll täielikult .,mina,emotsioon,yes
119,Seda ***** mõistsin ***** küll täielikult .,emotsioon,mina,no
120,"***** anusin ***** , kuid asjatult .",mina,tema,tes
121,"***** anusin ***** , kuid asjatult .",tema,mina,no
122,Palju ***** näiteks ***** harjutad ?,sina,hääl,yes
123,Palju ***** näiteks ***** harjutad ?,hääl,sina,no
124,Keegi tundmatu ***** toob mõni päev hiljem sellele lisaks ***** perekonnaseisuameti tõendist isa sünni kohta .,daam,koopia,yes
125,Keegi tundmatu ***** toob mõni päev hiljem sellele lisaks ***** perekonnaseisuameti tõendist isa sünni kohta .,koopia,daam,no
126,"Eesti lennuväe ***** tõestavad need ***** , kes ka pärast Teist maailmasõda ühel või teisel viisil võitlust jätkasid .",mees,vaim,yes
127,"Eesti lennuväe ***** tõestavad need ***** , kes ka pärast Teist maailmasõda ühel või teisel viisil võitlust jätkasid .",vaim,mees,no
128,"Olgugi vahepeal aastad ***** näole ***** juurde kirjutanud , rohmakusele on Komissarov truuks jäänud .",lavastaja,korts,no
129,"Olgugi vahepeal aastad ***** näole ***** juurde kirjutanud , rohmakusele on Komissarov truuks jäänud .",korts,lavastaja,no
130,Juba ***** “ kuninglik ” teeb ***** tõrksaks organiga liituma .,nimetus,iirlane,yes
131,Juba ***** “ kuninglik ” teeb ***** tõrksaks organiga liituma .,iirlane,nimetus,no
132,"Ükski ***** ei anna ehituseks ***** , kui sul on tagatiseks pakkuda ainult maakasutusleping .",pank,laen,yes
133,"Ükski ***** ei anna ehituseks ***** , kui sul on tagatiseks pakkuda ainult maakasutusleping .",laen,pank,no
134,"Peaaegu ***** olid oma ***** kohendanud , keskmiselt 15 lõikusega .",kõik,välimus,yes
135,"Peaaegu ***** olid oma ***** kohendanud , keskmiselt 15 lõikusega .",välimus,kõik,no
136,"Ei suured ***** , nagu Ukraina , ega haavatavad riigid , nagu Baltimaad , ei tunne ***** rahulikult ainult selle pärast , et keegi teine nende julgeolekut tagab .",riik,ise,yes
137,"Ei suured ***** , nagu Ukraina , ega haavatavad riigid , nagu Baltimaad , ei tunne ***** rahulikult ainult selle pärast , et keegi teine nende julgeolekut tagab .",ise,riik,no
138,“ ***** hävitas ***** .,alkohol,indiaanlane,yes
139,“ ***** hävitas ***** .,indiaanlane,alkohol,yes
140,"***** muutis ***** pehmemaks , leebemaks ja vastuvõtlikumaks - naiselikumaks .",Alex,mina,yes
141,"***** muutis ***** pehmemaks , leebemaks ja vastuvõtlikumaks - naiselikumaks .",mina,Alex,no
142,"***** pole küll väikest armsat ***** mere äärde soetanud , vaid hoopiski keset Tallinna linna koos kolme sõbra , Paul Lilje , Alo Jaanivaldi ja Arvo Kokkaga uhke helisalvestusstuudio “ Red Records Stuudiod ” .",tema,majake,yes
143,"***** pole küll väikest armsat ***** mere äärde soetanud , vaid hoopiski keset Tallinna linna koos kolme sõbra , Paul Lilje , Alo Jaanivaldi ja Arvo Kokkaga uhke helisalvestusstuudio “ Red Records Stuudiod ” .",majake,tema,no
144,***** lubas tulevikus FIA-le ***** tulust .,tema,osa,yes
145,***** lubas tulevikus FIA-le ***** tulust .,osa,tema,no
146,"Pulmad , lapse sünd , ***** võitnud ***** ja terrorirünnakud koduukse ees - kõik ühe aasta jooksul .",film,Oscari,no
147,"Pulmad , lapse sünd , ***** võitnud ***** ja terrorirünnakud koduukse ees - kõik ühe aasta jooksul .",Oscari,film,no
148,***** veedab tagakambris ühiseid intiimseid ***** .,abielupaar,hetk,yes
149,***** veedab tagakambris ühiseid intiimseid ***** .,hetk,abielupaar,no
150,Meie mees ***** valiku kiitsid heaks Rootsi ***** .,sina,nõustaja,no
151,Meie mees ***** valiku kiitsid heaks Rootsi ***** .,nõustaja,sina,no
152,Elektrienergia ekspordi ***** ja tarbimise tagasiminek on elektrienergia ***** vähendanud ca kaks korda .,lõppemine,tootmine,yes
153,Elektrienergia ekspordi ***** ja tarbimise tagasiminek on elektrienergia ***** vähendanud ca kaks korda .,tootmine,lõppemine,no
154,Ratsionaalne ***** praegu sellist ***** ei soosi .,ellusuhtumine,nähtus,yes
155,Ratsionaalne ***** praegu sellist ***** ei soosi .,nähtus,ellusuhtumine,no
156,Just loomuliku olekuga lõi 15aastane Elva ***** Kerli Kõiv oma väga täiskasvanulikke ja lausa tädilikke ***** Lätist-Leedust .,koolitüdruk,konkurent,yes
157,Just loomuliku olekuga lõi 15aastane Elva ***** Kerli Kõiv oma väga täiskasvanulikke ja lausa tädilikke ***** Lätist-Leedust .,konkurent,koolitüdruk,no
158,"” Kuid kui naised edasi lunisid , siis ***** rääkiski , iga kord mõne ***** .",vili,pisiasi,no
159,"” Kuid kui naised edasi lunisid , siis ***** rääkiski , iga kord mõne ***** .",pisiasi,vili,no
160,Euroopa Komisjoni värske ***** “ Responses to the Challenges of Globalisation ” käsitleb ühe vastusena globaliseerumisele ka rahvusvahelist valuutatehingutele kehtestatavat ***** .,raport,maks,yes
161,Euroopa Komisjoni värske ***** “ Responses to the Challenges of Globalisation ” käsitleb ühe vastusena globaliseerumisele ka rahvusvahelist valuutatehingutele kehtestatavat ***** .,maks,raport,no
162,***** paneb nördima lihtsustav ja ühekülgne ***** .,nägemus,kriitik,yes
163,***** paneb nördima lihtsustav ja ühekülgne ***** .,kriitik,nägemus,no
164,"Erilist ***** teeb ***** , füüsika alal on üliõpilasi vähe , helgemad pead valivad eriala , kus hoopis rohkem teenib .",järelkasv,mure,yes
165,"Erilist ***** teeb ***** , füüsika alal on üliõpilasi vähe , helgemad pead valivad eriala , kus hoopis rohkem teenib .",mure,järelkasv,no
166,***** tähendab vähemasti kolmesadat ***** .,see,beebi,yes
167,***** tähendab vähemasti kolmesadat ***** .,beebi,see,no
168,***** pole ***** piiranud .,tüdruk,mina,yes
169,***** pole ***** piiranud .,mina,tüdruk,yes
170,"Ei , enne võiks ***** ***** maha jätta .",tema,mina,yes
171,"Ei , enne võiks ***** ***** maha jätta .",mina,tema,yes
172,"Ning loomulikult ei kasutaks ***** neid ***** ainult ise , vaid jagaks kõigi kaaslastega .",tema,privileeg,yes
173,"Ning loomulikult ei kasutaks ***** neid ***** ainult ise , vaid jagaks kõigi kaaslastega .",privileeg,tema,no
174,Enne ühisprojekti algust pidid aga Ameerika ***** mitmel korral koostöö lihvimiseks külastama Vene ***** Mir .,astronaut,kosmosejaam,yes
175,Enne ühisprojekti algust pidid aga Ameerika ***** mitmel korral koostöö lihvimiseks külastama Vene ***** Mir .,kosmosejaam,astronaut,no
176,Samuti sisaldab see ***** erinevail põhjusil kõrvale tõrjutuid ja muidu omapäraseid ***** .,rühm,laps,yes
177,Samuti sisaldab see ***** erinevail põhjusil kõrvale tõrjutuid ja muidu omapäraseid ***** .,laps,rühm,no
178,"“ ***** tahame ***** väga , aga me ei tea , kas ka tema meid tahab .",mina,kass,yes
179,"“ ***** tahame ***** väga , aga me ei tea , kas ka tema meid tahab .",kass,mina,no
180,Kuid kõigis neis said rohkem või vähem ***** vaid ***** .,lennuk,viga,yes
181,Kuid kõigis neis said rohkem või vähem ***** vaid ***** .,viga,lennuk,no
182,***** Clinton sai kaotatud ***** tagasi .,Bill,ametikoht,yes
183,***** Clinton sai kaotatud ***** tagasi .,ametikoht,Bill,no
184,"Et ***** vaataksid Venemaa ***** nagu kalad akvaariumis , tummalt maigutades ja ennast täieliku kõrvaltvaatajana tundes .",tema,tegelikkus,yes
185,"Et ***** vaataksid Venemaa ***** nagu kalad akvaariumis , tummalt maigutades ja ennast täieliku kõrvaltvaatajana tundes .",tegelikkus,tema,no
186,"Sünnitusosakonnas küsisin ***** oma palati naistelt näiteks selliseid ***** : “ Aga mis ma siis teen , kui see asi tal tagumikust välja tuleb ?",mina,asi,yes
187,"Sünnitusosakonnas küsisin ***** oma palati naistelt näiteks selliseid ***** : “ Aga mis ma siis teen , kui see asi tal tagumikust välja tuleb ?",asi,mina,no
188,***** teeb ***** seksuaalselt isuäratavaks ?,mis,naine,yes
189,***** teeb ***** seksuaalselt isuäratavaks ?,naine,mis,no
190,***** ja vanaema õpetasid ***** mulle . ”,ema,see,yes
191,***** ja vanaema õpetasid ***** mulle . ”,see,ema,no
192,"Jane ja Rauli ***** sai ***** 1999. aastal Sierra Nevada treeninglaagris , kus jooksja Sevilla olümpiamängudeks valmistus .",lugu,algus,yes
193,"Jane ja Rauli ***** sai ***** 1999. aastal Sierra Nevada treeninglaagris , kus jooksja Sevilla olümpiamängudeks valmistus .",algus,lugu,no
194,Ometi valis ***** juba lapsena endale absoluutseks elusihiks ***** .,tema,jalgpall,yes
195,Ometi valis ***** juba lapsena endale absoluutseks elusihiks ***** .,jalgpall,tema,no
196,Rahakraani ***** ***** ei kaota ega tapa .,sulgemine,haigus,yes
197,Rahakraani ***** ***** ei kaota ega tapa .,haigus,sulgemine,no
198,***** saavad kindlustada peaaegu ***** .,kaupmees,kõik,yes
199,***** saavad kindlustada peaaegu ***** .,kõik,kaupmees,no
