,subject,verb,object,hinnang
158,vägivald,sünnitama,vägivald,yes
159,vägivald,sünnitama,vägivald,yes
160,kirjutamine,võtma,aasta,yes
161,aasta,võtma,kirjutamine,no
162,tema,nägema,mina,yes
163,mina,nägema,tema,yes
164,Iisrael,kontrollima,väljumine,yes
165,väljumine,kontrollima,Iisrael,no
166,maksupoliitika,soosima,see,yes
167,see,soosima,maksupoliitika,yes
168,uuring,kinnitama,see,yes
169,see,kinnitama,uuring,yes
170,idee,saama,algus,yes
171,algus,saama,idee,no
172,uurimus,tõstma,suhe,yes
173,suhe,tõstma,uurimus,no
174,sina,tundma,kaasa,yes
175,kaasa,tundma,sina,yes
176,ametiühing,seadma,oskus,yes
177,oskus,seadma,ametiühing,no
178,teenistus,leidma,inimene,no
179,inimene,leidma,teenistus,yes
180,riik,tegema,elamu,yes
181,elamu,tegema,riik,no
182,minister,edastama,info,yes
183,info,edastama,minister,no
184,riik,afisheerima,pangandus,yes
185,pangandus,afisheerima,riik,no
186,teine,pälvima,tunnustus,yes
187,tunnustus,pälvima,teine,no
188,tõik,muutma,isik,yes
189,isik,muutma,tõik,yes
190,teadus,segama,ise,yes
191,ise,segama,teadus,yes
192,kuningas,väljendama,vaimustus,yes
193,vaimustus,väljendama,kuningas,no
194,Komisjon,panema,tee,yes
195,tee,panema,Komisjon,no
196,see,nõudma,protsess,yes
197,protsess,nõudma,see,yes
198,daam,ütlema,telefon,no
199,telefon,ütlema,daam,no
