,sentence,subject,object,hinnang
43,"Kohe seejärel lükkasid juudiriigi armee ***** kättemaksuks kokku mõned ***** Gazas ning siis jõudis ka Islamidžihaadil kätte aeg teatada , et otsus peatada rünnakud Iisraeli vastu oli eksitus .",maja,buldooser,no
44,"“ Kulleri ” ***** Andrus Esko peab põhiliseks kriteeriumiks , millega ajalehe veergudele sattuda , siiski ***** .",peatoimetaja,tuntus,yes
45,"“ Kulleri ” ***** Andrus Esko peab põhiliseks kriteeriumiks , millega ajalehe veergudele sattuda , siiski ***** .",tuntus,peatoimetaja,no
46,"Välismaa ***** toimetanud Aive Lauriste Patoloogiline märatseja COURTNEY LOVE on palganud endale ööpäevaringse ***** , kes peab teda kaitsma tema enda eest .",lehekülg,turvamees,no
47,"Välismaa ***** toimetanud Aive Lauriste Patoloogiline märatseja COURTNEY LOVE on palganud endale ööpäevaringse ***** , kes peab teda kaitsma tema enda eest .",turvamees,lehekülg,no
48,***** näeb peale selle ***** .,inimene,unenägu,yes
49,***** näeb peale selle ***** .,unenägu,inimene,no
50,"Kes aga iga päev teiste pakist suitsu teeb , ***** ***** suitsetajaks ei pea .",see,ise,yes
51,"Kes aga iga päev teiste pakist suitsu teeb , ***** ***** suitsetajaks ei pea .",ise,see,no
52,***** võttis isegi kasutusele uue ***** - juhkerdised .,tema,termin,yes
53,***** võttis isegi kasutusele uue ***** - juhkerdised .,termin,tema,no
54,Vahekorras olles ei tajunud ***** oma ***** .,mina,puue,yes
55,Vahekorras olles ei tajunud ***** oma ***** .,puue,mina,no
56,"“ Saad ***** ***** , rootslastega ei saa midagi kohe korda ajada .",sina,aru,yes
57,"“ Saad ***** ***** , rootslastega ei saa midagi kohe korda ajada .",aru,sina,no
58,Kuidas ***** ***** tööst välja lülitate ?,sina,ise,yes
59,Kuidas ***** ***** tööst välja lülitate ?,ise,sina,no
60,"Veelgi enam , pikka aega ei teadnud ka rahvusvaheline ***** ***** nendest remondilehtedest .",komisjon,miski,yes
61,"Veelgi enam , pikka aega ei teadnud ka rahvusvaheline ***** ***** nendest remondilehtedest .",miski,komisjon,no
62,"” ***** ei ütle Riisalule küll ***** otse näkku ja tihti tundub talle isegi , et nii mõnigi lugupeetud ärimees tahaks laval “ römiseda ” sama kompleksivabalt kui tema .",keegi,miski,yes
63,"” ***** ei ütle Riisalule küll ***** otse näkku ja tihti tundub talle isegi , et nii mõnigi lugupeetud ärimees tahaks laval “ römiseda ” sama kompleksivabalt kui tema .",miski,keegi,no
64,"“ Tihti lõid ***** oma ***** palgatöö kõrvalt , kasutades ära nii tekkinud kontakte ( hankijad , koostööpartnerid , töötajad , kliendid ) kui ka omandatud teadmisi ( välisfirmadega suhtlemise kogemus , tolliprotseduuride tundmine ) , ” iseloomustab Juhan Teder .",tema,ettevõte,yes
65,"“ Tihti lõid ***** oma ***** palgatöö kõrvalt , kasutades ära nii tekkinud kontakte ( hankijad , koostööpartnerid , töötajad , kliendid ) kui ka omandatud teadmisi ( välisfirmadega suhtlemise kogemus , tolliprotseduuride tundmine ) , ” iseloomustab Juhan Teder .",ettevõte,tema,no
66,"Ligi ***** või ehk pooled praegu mandril töötavatest inimestest vast leiaksid Hiiumaal ***** , seda aga olulise palgakaotusega .",kolmandik,töö,yes
67,"Ligi ***** või ehk pooled praegu mandril töötavatest inimestest vast leiaksid Hiiumaal ***** , seda aga olulise palgakaotusega .",töö,kolmandik,no
68,"Viimase poole aasta jooksul ongi ***** kõrvaldanud kaks korda rohkem ***** , laserplaate ja videokassette kui viimase kolme aastaga kokku .",politsei,kassett,yes
69,"Viimase poole aasta jooksul ongi ***** kõrvaldanud kaks korda rohkem ***** , laserplaate ja videokassette kui viimase kolme aastaga kokku .",kassett,politsei,no
70,Mingeid kaugeleulatuvaid ***** ***** ei tee .,mina,plaan,yes
71,Mingeid kaugeleulatuvaid ***** ***** ei tee .,plaan,mina,no
72,"***** võttis Murdiga ***** ja teatas , et ootab temalt last .",pilv,ühendus,yes
73,"***** võttis Murdiga ***** ja teatas , et ootab temalt last .",ühendus,pilv,no
74,Nende heitluste järel lahendab ***** Vargamäele naastes ka ***** : mida pärast lüüasaamisi teha ?,peategelane,küsimus,yes
75,Nende heitluste järel lahendab ***** Vargamäele naastes ka ***** : mida pärast lüüasaamisi teha ?,küsimus,peategelane,no
76,***** ei otsi ***** .,mina,keegi,yes
77,***** ei otsi ***** .,keegi,mina,yes
78,Kuidas ***** ***** välja mõtled ?,sina,toit,yes
79,Kuidas ***** ***** välja mõtled ?,toit,sina,no
80,***** haistsid aga EL-is ***** korrastada suhteid suure idanaabriga ning siduda end lõplikult Euroopaga .,soomlane,shanss,yes
81,***** haistsid aga EL-is ***** korrastada suhteid suure idanaabriga ning siduda end lõplikult Euroopaga .,shanss,soomlane,no
82,***** mitmete filmielamuste kõrval pakkus tihti tõsist ***** meie endi olukorra analüüsimiseks .,mis,mõtlemisaine,yes
83,***** mitmete filmielamuste kõrval pakkus tihti tõsist ***** meie endi olukorra analüüsimiseks .,mõtlemisaine,mis,no
84,Lätis ja Leedus pidurdab traavispordi ***** alalise hipodroomi ***** .,puudumine,areng,yes
85,Lätis ja Leedus pidurdab traavispordi ***** alalise hipodroomi ***** .,areng,puudumine,no
86,70-ndate lõpus kirjutas ***** ***** “ Philosophy and the Mirror of Nature ” .,tema,raamat,yes
87,70-ndate lõpus kirjutas ***** ***** “ Philosophy and the Mirror of Nature ” .,raamat,tema,no
88,***** ei saa ***** ja sünnipaika valida .,keegi,vanem,yes
89,***** ei saa ***** ja sünnipaika valida .,vanem,keegi,no
90,***** ***** sellest teistele ikka patran .,mina,mis,yes
91,***** ***** sellest teistele ikka patran .,mis,mina,no
92,"Detsembri algul 1957. aastal informeeris Eesti NSV MN esimehe ***** Valter Klauson Narva parteikonverentsi ***** , et Hrushtshov suhtub küsimuse lahendamisse pooldavalt .",asetäitja,delegaat,yes
93,"Detsembri algul 1957. aastal informeeris Eesti NSV MN esimehe ***** Valter Klauson Narva parteikonverentsi ***** , et Hrushtshov suhtub küsimuse lahendamisse pooldavalt .",delegaat,asetäitja,yes
94,"Kuni väljaõppe lõpuni juhivad ***** tegelikult lääneriikide ***** , kes annavad järk-järgult üle juhtimisülesandeid ja volitusi .",instruktor,pataljon,yes
95,"Kuni väljaõppe lõpuni juhivad ***** tegelikult lääneriikide ***** , kes annavad järk-järgult üle juhtimisülesandeid ja volitusi .",pataljon,instruktor,no
96,"J . H . : Jah , ***** võivad esile tuua populistliku ***** , et siin müüakse odavalt maha kroonijuveele .",valimine,reaktsioon,yes
97,"J . H . : Jah , ***** võivad esile tuua populistliku ***** , et siin müüakse odavalt maha kroonijuveele .",reaktsioon,valimine,no
98,Kahe inimpõlve vältel on ***** säilitanud ***** ja sellest kasu lõiganud .,Hiina,Hongkong,yes
99,Kahe inimpõlve vältel on ***** säilitanud ***** ja sellest kasu lõiganud .,Hongkong,Hiina,yes
100,***** armastas ***** Nuudet .,Mati,publik,no
101,***** armastas ***** Nuudet .,publik,Mati,yes
102,"***** ja helilooja REIN RANNAP ostis oma järjekordse turnee tarvis uue ***** , Hyundai Fe .",pianist,maastur,yes
103,"***** ja helilooja REIN RANNAP ostis oma järjekordse turnee tarvis uue ***** , Hyundai Fe .",maastur,pianist,no
104,"***** saatis kaitseminister Pavel Gratshovile ***** : “ Õnnitlen üleoleku saavutamise puhul õhuruumis , kohtume maal .",tema,telegramm,yes
105,"***** saatis kaitseminister Pavel Gratshovile ***** : “ Õnnitlen üleoleku saavutamise puhul õhuruumis , kohtume maal .",telegramm,tema,no
106,"***** saab ***** kätte ning hoolimata külalise püüdest teda takistada , soovib 200 naelsterlingit .",peremees,käpp,yes
107,"***** saab ***** kätte ning hoolimata külalise püüdest teda takistada , soovib 200 naelsterlingit .",käpp,peremees,yes
108,"Ettevõtlik ***** Tõnis Palts , kellel taskus TPI raadioinseneri diplom , ning kes juhib kümmekonnast firmast koosnevat Levicomi gruppi , ei varja oma ***** : Levicom peab saama sajandivahetuseks võimsaimaks sideteenuseid pakkuvaks firmaks Baltikumis .",saarlane,ambitsioon,yes
109,"Ettevõtlik ***** Tõnis Palts , kellel taskus TPI raadioinseneri diplom , ning kes juhib kümmekonnast firmast koosnevat Levicomi gruppi , ei varja oma ***** : Levicom peab saama sajandivahetuseks võimsaimaks sideteenuseid pakkuvaks firmaks Baltikumis .",ambitsioon,saarlane,no
110,Tollane ***** Jaak Tamm ( ei ole Jaani sugulane ) saatis ***** õiguskantslerile .,linnapea,määrus,yes
111,Tollane ***** Jaak Tamm ( ei ole Jaani sugulane ) saatis ***** õiguskantslerile .,määrus,linnapea,no
112,"Lev Nikolajevitshi järgi määravad just ***** , täpsemalt küll nende hulk ühel või teisel ajalooetapil selle edasise ***** .",tema,käik,yes
113,"Lev Nikolajevitshi järgi määravad just ***** , täpsemalt küll nende hulk ühel või teisel ajalooetapil selle edasise ***** .",käik,tema,no
114,"Nende ***** ja poolehoidu jahtisid nii ***** , poliitikud kui ka ettevõtete juhid .",ajakirjandus,arvamus,yes
115,"Nende ***** ja poolehoidu jahtisid nii ***** , poliitikud kui ka ettevõtete juhid .",arvamus,ajakirjandus,no
116,***** ei saa endale võtta viit kuni seitset tuhandet ***** ja lihtsalt ära minna .,mina,kroon,yes
117,***** ei saa endale võtta viit kuni seitset tuhandet ***** ja lihtsalt ära minna .,kroon,mina,no
118,Samasugust ***** loodavad Kallaste ***** .,mees,otsus,yes
119,Samasugust ***** loodavad Kallaste ***** .,otsus,mees,no
120,"Need ***** ei too pangale olulist ***** , õigemini , pank on rahul , kui nad nullkasumiga töötavad , kuid ometi on nende regionaalpoliitiline roll väga suur , ” väitis Telgmaa ja nõudis keskpangalt otsesõnu Maapanga toetamist .",filiaal,tulu,yes
121,"Need ***** ei too pangale olulist ***** , õigemini , pank on rahul , kui nad nullkasumiga töötavad , kuid ometi on nende regionaalpoliitiline roll väga suur , ” väitis Telgmaa ja nõudis keskpangalt otsesõnu Maapanga toetamist .",tulu,filiaal,no
122,Lapsepõlve ***** veetis Peterburis sündinud ***** vanaema Kati juures Koordis .,suvi,Hans,no
123,Lapsepõlve ***** veetis Peterburis sündinud ***** vanaema Kati juures Koordis .,Hans,suvi,yes
124,"Personaliotsingufirma Ariko Reserv juhataja Igor Pässi meelest on vahepealsed rasked ***** mõne inimese ***** sedavõrd muserdanud , et on kaotatud usk nii endasse kui ka koolituse võimalustesse .",aasta,moraal,yes
125,"Personaliotsingufirma Ariko Reserv juhataja Igor Pässi meelest on vahepealsed rasked ***** mõne inimese ***** sedavõrd muserdanud , et on kaotatud usk nii endasse kui ka koolituse võimalustesse .",moraal,aasta,no
126,"Sellest annab ***** näiteks ***** , et märtsis konfiskeeris Eesti toll 1000 Hiina päritolu TT püstolit , mis olid peidetud kolmekümnesse sinist värvi metallvaati .",asjaolu,tunnistus,yes
127,"Sellest annab ***** näiteks ***** , et märtsis konfiskeeris Eesti toll 1000 Hiina päritolu TT püstolit , mis olid peidetud kolmekümnesse sinist värvi metallvaati .",tunnistus,asjaolu,no
128,Meie ***** ei tundnud kuni selle aasta alguseni erilist ***** 1995 sõlmitud Eesti ja Euroopa Liidu vahelise assotsiatsiooni ehk Euroopa lepingu vastu .,ettevõtja,huvi,yes
129,Meie ***** ei tundnud kuni selle aasta alguseni erilist ***** 1995 sõlmitud Eesti ja Euroopa Liidu vahelise assotsiatsiooni ehk Euroopa lepingu vastu .,huvi,ettevõtja,no
130,***** ***** teab ?,kes,see,yes
131,***** ***** teab ?,see,kes,no
132,Harmoonilise figuuri nimel treenis ***** ***** igal võimalikul hetkel .,tema,ise,yes
133,Harmoonilise figuuri nimel treenis ***** ***** igal võimalikul hetkel .,ise,tema,no
134,***** peab pidevalt kinnitama NATO ***** laieneda ka pärast esimest ringi ning kannustama Euroopa Liitu uute liikmete võtmisele .,tema,valmisolek,yes
135,***** peab pidevalt kinnitama NATO ***** laieneda ka pärast esimest ringi ning kannustama Euroopa Liitu uute liikmete võtmisele .,valmisolek,tema,no
136,Miks peab see kena ***** eespingil ***** alla tõmbama ?,neiu,joon,yes
137,Miks peab see kena ***** eespingil ***** alla tõmbama ?,joon,neiu,no
138,Estoniaga juhtunut ning kapten Pihti ***** on Regina Baltica ***** Erich Moik ja Jüri Lember sadu kordi peast läbi lasknud .,kapten,saatus,yes
139,Estoniaga juhtunut ning kapten Pihti ***** on Regina Baltica ***** Erich Moik ja Jüri Lember sadu kordi peast läbi lasknud .,saatus,kapten,no
140,Koguse vähenedes ***** aeglustab ***** .,kell,käik,yes
141,Koguse vähenedes ***** aeglustab ***** .,käik,kell,no
142,Mis ringides ***** siis ***** valgeks said ?,sina,käsi,yes
143,Mis ringides ***** siis ***** valgeks said ?,käsi,sina,no
144,Eriti selgelt tunnevad ***** loomulikult eduka juhi ***** .,lähedane,see,yes
145,Eriti selgelt tunnevad ***** loomulikult eduka juhi ***** .,see,lähedane,no
146,Koos supermodellist abikaasa Imaniga kasvatab ***** varsti kaheaastast ***** ega taha kuuldagi suurest maailmaturneest .,tema,tütar,yes
147,Koos supermodellist abikaasa Imaniga kasvatab ***** varsti kaheaastast ***** ega taha kuuldagi suurest maailmaturneest .,tütar,tema,no
148,"***** , kes arveid maksab , kulutab kas rumalusest või kuritahtlikult kaitseväe autopargi tarvis aastas kuni kolm miljonit liigset ***** .",ministeerium,kroon,yes
149,"***** , kes arveid maksab , kulutab kas rumalusest või kuritahtlikult kaitseväe autopargi tarvis aastas kuni kolm miljonit liigset ***** .",kroon,ministeerium,no
150,Säärane ***** seab Balti ***** erinevasse kategooriasse võrreldes teiste Euroopa riikidega .,lähenemisviis,riik,yes
151,Säärane ***** seab Balti ***** erinevasse kategooriasse võrreldes teiste Euroopa riikidega .,riik,lähenemisviis,no
152,Sellel taustal võivad ühiskondlik ***** ja poliitilised manipulatsioonid kaasa tuua politseijuhtide sagedase ***** ja veelgi suureneva ebastabiilsuse politseis .,surve,vahetumine,yes
153,Sellel taustal võivad ühiskondlik ***** ja poliitilised manipulatsioonid kaasa tuua politseijuhtide sagedase ***** ja veelgi suureneva ebastabiilsuse politseis .,vahetumine,surve,no
154,Üks ***** premeeris ***** hea töö eest suure stiliseeritud kassi kujuga .,siseminister,tema,yes
155,Üks ***** premeeris ***** hea töö eest suure stiliseeritud kassi kujuga .,tema,siseminister,no
156,Juba Lahesõja ajal ja ka pärast seda on ***** otsinud ***** ja ettekäänet Saddam Husseini kõrvaldamiseks .,Ühendriik,võimalus,yes
157,Juba Lahesõja ajal ja ka pärast seda on ***** otsinud ***** ja ettekäänet Saddam Husseini kõrvaldamiseks .,võimalus,Ühendriik,no
158,Kuid ***** ja Age on ***** suutnud .,Toomas,see,yes
159,Kuid ***** ja Age on ***** suutnud .,see,Toomas,no
160,"” Tugevdamaks kontrolli ajakirjanduse ja üldse avaliku elu korralduse üle , asutas ***** Päts 1934. aastal valitsuse poolt suunatava Propaganda ***** .",Konstantin,talitus,yes
161,"” Tugevdamaks kontrolli ajakirjanduse ja üldse avaliku elu korralduse üle , asutas ***** Päts 1934. aastal valitsuse poolt suunatava Propaganda ***** .",talitus,Konstantin,no
162,"Selle tähtsa sündmuse juurde oli ***** kaasa võtnud ka ***** , mida palus mängida .",tema,kassett,yes
163,"Selle tähtsa sündmuse juurde oli ***** kaasa võtnud ka ***** , mida palus mängida .",kassett,tema,no
164,"Lihtsaima näitena toob ***** ***** , mille ta oleks nõus päevapealt maha jätma , kui ainult peaks .",tema,suitsetamine,yes
165,"Lihtsaima näitena toob ***** ***** , mille ta oleks nõus päevapealt maha jätma , kui ainult peaks .",suitsetamine,tema,no
166,Tänu pankurite usaldusele sai suurema ***** meedia üle ka Kremli ***** eesotsas Anatoli Tshubaisiga .,administratsioon,kontroll,yes
167,Tänu pankurite usaldusele sai suurema ***** meedia üle ka Kremli ***** eesotsas Anatoli Tshubaisiga .,kontroll,administratsioon,no
168,***** ei saa ühte ***** teisele eelistada .,mina,nali,yes
169,***** ei saa ühte ***** teisele eelistada .,nali,mina,no
170,***** annavad ***** ja õigustust elu otsingutele väljaspool Maad - eelkõige Marsilt ja Europalt .,leid,lootus,yes
171,***** annavad ***** ja õigustust elu otsingutele väljaspool Maad - eelkõige Marsilt ja Europalt .,lootus,leid,no
172,Kauplemise ***** keelab helikonservide ***** kontserdiplatsil .,üldeeskiri,müük,yes
173,Kauplemise ***** keelab helikonservide ***** kontserdiplatsil .,müük,üldeeskiri,no
174,***** arvate naljast “ Kaur Kender on Rain Lõhmuse ***** ” ?,koduloom,mis,no
175,***** arvate naljast “ Kaur Kender on Rain Lõhmuse ***** ” ?,mis,koduloom,no
176,Eesti rohkem kui sadakond ***** ei tunne Eesti erakõrgkoolide vastu pea üldse ***** .,advokaadibüroo,huvi,yes
177,Eesti rohkem kui sadakond ***** ei tunne Eesti erakõrgkoolide vastu pea üldse ***** .,huvi,advokaadibüroo,no
178,” ***** Erilaid süütab mõtlikult uue ***** .,Tõnis,sigaret,yes
179,” ***** Erilaid süütab mõtlikult uue ***** .,sigaret,Tõnis,no
180,Näiteks sai ***** 1994. aastal peeso kriisi ehk nn tequila shoki ajal ***** 50 mld dollarit .,Mehhiko,laen,yes
181,Näiteks sai ***** 1994. aastal peeso kriisi ehk nn tequila shoki ajal ***** 50 mld dollarit .,laen,Mehhiko,no
182,Miks ***** pole ***** ehitanud ?,sina,maja,yes
183,Miks ***** pole ***** ehitanud ?,maja,sina,no
184,” Pakub sulle mõni ***** loominguliselt rohkem ***** ?,värv,inspiratsioon,yes
185,” Pakub sulle mõni ***** loominguliselt rohkem ***** ?,inspiratsioon,värv,no
186,Riigikantselei peadirektor Tarmo Mänd - ***** eluruumi kaudu erastas ***** Tallinnas Liivalaia tänavas .,tööandja,korter,yes
187,Riigikantselei peadirektor Tarmo Mänd - ***** eluruumi kaudu erastas ***** Tallinnas Liivalaia tänavas .,korter,tööandja,no
188,Vastutasuks pakkus sama ***** vara kiiret ***** .,mees,kompenseerimine,yes
189,Vastutasuks pakkus sama ***** vara kiiret ***** .,kompenseerimine,mees,no
190,"Keskkonnaministeeriumi juures töötav endise NSVL-i sõjaväe tekitatud keskkonnakahjustuste likvideerimise finantseerimise ***** kavandab sajandivahetuseks eeskätt inimeste elule ja tervisele ohtliku saaste ***** , kogu taaga kõrvaldamine on pööraselt kallis ning kestab veel vähemalt sajandi .",komisjon,likvideerimine,yes
191,"Keskkonnaministeeriumi juures töötav endise NSVL-i sõjaväe tekitatud keskkonnakahjustuste likvideerimise finantseerimise ***** kavandab sajandivahetuseks eeskätt inimeste elule ja tervisele ohtliku saaste ***** , kogu taaga kõrvaldamine on pööraselt kallis ning kestab veel vähemalt sajandi .",likvideerimine,komisjon,no
192,***** Sõnajalg kasutab maatükkide kokkukrabamiseks kahte õlitatult töötavat ***** .,Andres,skeem,yes
193,***** Sõnajalg kasutab maatükkide kokkukrabamiseks kahte õlitatult töötavat ***** .,skeem,Andres,no
194,9. augustil tühistas ***** selle lõpetamise ***** .,prokuratuur,määrus,yes
195,9. augustil tühistas ***** selle lõpetamise ***** .,määrus,prokuratuur,no
196,Meilgi on ***** tänavu leidnud esimese ***** 37-aastase kaevuri näol .,äike,ohver,yes
197,Meilgi on ***** tänavu leidnud esimese ***** 37-aastase kaevuri näol .,ohver,äike,no
198,"Kogu maailmas armastavad edukad ***** ***** , investeerivad kultuuri ja haridusse .",inimene,kunst,yes
199,"Kogu maailmas armastavad edukad ***** ***** , investeerivad kultuuri ja haridusse .",kunst,inimene,no
