,subject,verb,object,hinnang
64,see,tegema,tema,yes
65,tema,tegema,see,yes
66,tema,tegema,peavalu,yes
67,peavalu,tegema,tema,yes
68,õnnetus,paljastama,koha,no
69,koha,paljastama,õnnetus,no
70,katse,andma,tulemus,yes
71,tulemus,andma,katse,no
72,Bill,esindama,pool,yes
73,pool,esindama,Bill,no
74,mina,mäletama,see,yes
75,see,mäletama,mina,no
76,raamatukogu,külastama,elanik,no
77,elanik,külastama,raamatukogu,yes
78,mina,nautima,olemine,yes
79,olemine,nautima,mina,no
80,tema,tegema,järeldus,yes
81,järeldus,tegema,tema,yes
82,koristaja,pesema,põrand,yes
83,põrand,pesema,koristaja,no
84,Savisaar,esindama,valija,yes
85,valija,esindama,Savisaar,yes
86,soomlane,panema,argument,yes
87,argument,panema,soomlane,no
88,asula,esindama,aste,no
89,aste,esindama,asula,yes
90,mina,eelistama,klassik,yes
91,klassik,eelistama,mina,yes
92,akt,muutma,ühendus,yes
93,ühendus,muutma,akt,yes
94,kantsler,vastutama,eelarve,yes
95,eelarve,vastutama,kantsler,no
96,filminäitleja,pidama,see,yes
97,see,pidama,filminäitleja,yes
98,mina,lõpetama,päev,yes
99,päev,lõpetama,mina,no
100,sina,tähistama,see,yes
101,see,tähistama,sina,no
102,otsus,vallandama,üks,yes
103,üks,vallandama,otsus,no
104,moment,leidma,lahendus,yes
105,lahendus,leidma,moment,no
106,mina,ütlema,seesama,yes
107,seesama,ütlema,mina,no
108,vahistamine,vähendama,ind,yes
109,ind,vähendama,vahistamine,no
110,abiellumine,tekitama,pahameel,yes
111,pahameel,tekitama,abiellumine,no
112,kahanemine,sundima,mina,yes
113,mina,sundima,kahanemine,yes
114,Piret,saama,võimalus,yes
115,võimalus,saama,Piret,no
116,tema,soovima,anonüümsus,yes
117,anonüümsus,soovima,tema,no
118,mina,mõistma,emotsioon,yes
119,emotsioon,mõistma,mina,no
120,mina,anuma,tema,yes
121,tema,anuma,mina,yes
122,sina,harjutama,hääl,yes
123,hääl,harjutama,sina,no
124,daam,tooma,koopia,yes
125,koopia,tooma,daam,no
126,mees,tõestama,vaim,yes
127,vaim,tõestama,mees,no
128,lavastaja,kirjutama,korts,yes
129,korts,kirjutama,lavastaja,no
130,nimetus,tegema,iirlane,yes
131,iirlane,tegema,nimetus,yes
132,pank,andma,laen,yes
133,laen,andma,pank,no
134,kõik,kohendama,välimus,yes
135,välimus,kohendama,kõik,no
136,riik,tundma,ise,yes
137,ise,tundma,riik,yes
138,alkohol,hävitama,indiaanlane,yes
139,indiaanlane,hävitama,alkohol,yes
140,Alex,muutma,mina,yes
141,mina,muutma,Alex,yes
142,tema,soetama,majake,yes
143,majake,soetama,tema,no
144,tema,lubama,osa,yes
145,osa,lubama,tema,yes
146,film,võitma,Oscari,yes
147,Oscari,võitma,film,no
148,abielupaar,veetma,hetk,yes
149,hetk,veetma,abielupaar,no
150,sina,kiitma,nõustaja,yes
151,nõustaja,kiitma,sina,yes
152,lõppemine,vähendama,tootmine,yes
153,tootmine,vähendama,lõppemine,yes
154,ellusuhtumine,soosima,nähtus,yes
155,nähtus,soosima,ellusuhtumine,yes
156,koolitüdruk,looma,konkurent,yes
157,konkurent,looma,koolitüdruk,no
158,vili,rääkima,pisiasi,no
159,pisiasi,rääkima,vili,no
160,raport,käsitlema,maks,yes
161,maks,käsitlema,raport,no
162,nägemus,panema,kriitik,yes
163,kriitik,panema,nägemus,yes
164,järelkasv,tegema,mure,yes
165,mure,tegema,järelkasv,no
166,see,tähendama,beebi,yes
167,beebi,tähendama,see,yes
168,tüdruk,piirama,mina,yes
169,mina,piirama,tüdruk,yes
170,tema,jätma,mina,yes
171,mina,jätma,tema,yes
172,tema,kasutama,privileeg,yes
173,privileeg,kasutama,tema,no
174,astronaut,külastama,kosmosejaam,yes
175,kosmosejaam,külastama,astronaut,no
176,rühm,sisaldama,laps,yes
177,laps,sisaldama,rühm,no
178,mina,tahtma,kass,yes
179,kass,tahtma,mina,yes
180,lennuk,saama,viga,yes
181,viga,saama,lennuk,no
182,Bill,saama,ametikoht,yes
183,ametikoht,saama,Bill,no
184,tema,vaatama,tegelikkus,yes
185,tegelikkus,vaatama,tema,no
186,mina,küsima,asi,yes
187,asi,küsima,mina,yes
188,mis,tegema,naine,yes
189,naine,tegema,mis,yes
190,ema,õpetama,see,yes
191,see,õpetama,ema,yes
192,lugu,saama,algus,yes
193,algus,saama,lugu,no
194,tema,valima,jalgpall,yes
195,jalgpall,valima,tema,no
196,sulgemine,kaotama,haigus,yes
197,haigus,kaotama,sulgemine,no
198,kaupmees,kindlustama,kõik,yes
199,kõik,kindlustama,kaupmees,no
