,adjective,noun,hinnang
93,domineeriv,ametnik,yes
94,ideaalne,suurus,yes
95,abstraktne,suurus,no
96,suur,ookean,yes
97,sügav,ookean,yes
98,enneolematu,ulatus,yes
99,ebatavaline,ulatus,yes
100,suur,liitumine,yes
101,sügav,liitumine,no
102,keeruline,teema,yes
103,keerukas,teema,yes
104,suur,torm,yes
105,sügav,torm,no
106,uus,legend,yes
107,originaalne,legend,yes
108,konkreetne,piir,yes
109,väljakujunenud,piir,yes
110,pidav,auto,yes
111,kompaktne,auto,yes
112,osav,diplomaat,yes
113,meisterlik,diplomaat,yes
114,väike,maa,yes
115,madal,maa,yes
116,klassikaline,laul,yes
117,standardne,laul,yes
118,kirjeldamatu,kogemus,yes
119,ebatavaline,kogemus,yes
120,hele,silm,yes
121,valge,silm,yes
122,endine,valitseja,yes
123,omaaegne,valitseja,yes
124,ebamugav,muutmine,yes
125,tume,muutmine,no
126,suur,publik,yes
127,lai,publik,yes
128,keskne,tegur,yes
129,keskmine,tegur,yes
130,suur,teadmine,yes
131,sügav,teadmine,yes
132,sõbralik,õhkkond,yes
133,isalik,õhkkond,no
134,keeruline,saatus,yes
135,mõtlemapanev,saatus,yes
136,riiklik,nafta,yes
137,riigisisene,nafta,yes
138,rahvuslik,keskus,yes
139,etniline,keskus,yes
140,poolik,töö,yes
141,osaline,töö,yes
142,modernne,villa,yes
143,moekas,villa,yes
144,esmane,hüve,yes
145,algupärane,hüve,yes
146,vajalik,õpik,yes
147,hädavajalik,õpik,yes
148,poliitiline,opositsioon,yes
149,riiklik,opositsioon,yes
150,suur,kott,yes
151,sügav,kott,yes
152,väike,kogemus,yes
153,noor,kogemus,no
154,aus,raamatupidaja,yes
155,otsekohene,raamatupidaja,yes
156,võrdne,tingimus,yes
157,aus,tingimus,yes
158,silmapaistev,osa,yes
159,tuntav,osa,yes
160,uus,maitse,yes
161,originaalne,maitse,yes
162,järgmine,visiit,yes
163,järgnev,visiit,yes
164,kunstiline,kujund,yes
165,graafiline,kujund,yes
166,valus,küsimus,yes
167,karm,küsimus,yes
168,keskne,molekul,yes
169,keskmine,molekul,yes
170,lõplik,kindlus,yes
171,viimane,kindlus,yes
172,vastav,elukutse,yes
173,asjatundlik,elukutse,yes
174,silmapaistev,teos,yes
175,kapitaalne,teos,yes
176,kahjulik,kõrvalmõju,yes
177,ebaotstarbekas,kõrvalmõju,yes
178,uus,fenomen,yes
179,originaalne,fenomen,yes
180,uus,vajadus,yes
181,originaalne,vajadus,yes
182,ebatäpne,käsi,yes
183,vaba,käsi,yes
184,tüüpiline,viga,yes
185,iseloomulik,viga,yes
186,ürgne,tung,yes
187,algne,tung,yes
188,poliitiline,seisukoht,yes
189,riiklik,seisukoht,yes
190,peamine,baas,yes
191,fundamentaalne,baas,yes
192,otsene,edu,yes
193,esmane,edu,yes
194,hiljutine,tegevus,yes
195,uus,tegevus,yes
196,viimane,kuluartikkel,yes
197,püsiv,kuluartikkel,yes
198,uus,roll,yes
199,originaalne,roll,yes
