,sentence,adjective,noun,hinnang
10,"Viimase õigusakti § 52 lõike 1 järgi “ <<<ADJ registri või andmebaasi põhimäärus , mis on vastu võetud enne käesoleva seaduse jõustumist , tuleb viia vastavusse käesoleva seadusega kahe aasta jooksul pärast seaduse jõustumist ” .",riiklik,register,yes
11,"Viimase õigusakti § 52 lõike 1 järgi “ <<<ADJ registri või andmebaasi põhimäärus , mis on vastu võetud enne käesoleva seaduse jõustumist , tuleb viia vastavusse käesoleva seadusega kahe aasta jooksul pärast seaduse jõustumist ” .",avalik,register,no
12,"Kui siia juurde lisada sellised inimeste igapäevaelu puudutavad teated , et peame bensiini või elektri hinda tõstma Euroopa Liidu tasemele ( samal ajal , kui palgad jäävad sealsest tasemest oluliselt maha ) või et vangidele tuleb ehitada eurostandarditele <<<ADJ vanglad ( ajal , mil paljude tavakodanike elujärg jätab kõvasti soovida ) , siis pole imestada , miks Eestis võtab maad euroskepsis .",vastav,vangla,yes
13,"Kui siia juurde lisada sellised inimeste igapäevaelu puudutavad teated , et peame bensiini või elektri hinda tõstma Euroopa Liidu tasemele ( samal ajal , kui palgad jäävad sealsest tasemest oluliselt maha ) või et vangidele tuleb ehitada eurostandarditele <<<ADJ vanglad ( ajal , mil paljude tavakodanike elujärg jätab kõvasti soovida ) , siis pole imestada , miks Eestis võtab maad euroskepsis .",asjatundlik,vangla,no
14,"“ Intelligentse inimesena tean ma ise oma vigu , ” leiab Eurovisiooni üks õhtujuhte ANNELY PEEBO , kelle isik <<<ADJ näitemängu järel palju kära põhjustas .",suur,näitemäng,yes
15,"“ Intelligentse inimesena tean ma ise oma vigu , ” leiab Eurovisiooni üks õhtujuhte ANNELY PEEBO , kelle isik <<<ADJ näitemängu järel palju kära põhjustas .",sügav,näitemäng,no
16,<<<ADJ tööpäevad .,pingeline,tööpäev,yes
17,<<<ADJ tööpäevad .,ärev,tööpäev,yes
18,"Nad on idealistid , mõelgu nad ise , mida tahavad - nad kordavad <<<ADJ nihkega sama vaidlust , mis toimus 1980. aastate lõpul poliitikas , kui vastasleerid moodustasid mugandumisaltid “ reaalpoliitikud ” ja täielikku vabadust soovivad “ ideaalpoliitikud ” .",ajaline,nihe,yes
19,"Nad on idealistid , mõelgu nad ise , mida tahavad - nad kordavad <<<ADJ nihkega sama vaidlust , mis toimus 1980. aastate lõpul poliitikas , kui vastasleerid moodustasid mugandumisaltid “ reaalpoliitikud ” ja täielikku vabadust soovivad “ ideaalpoliitikud ” .",õigeaegne,nihe,no
20,"“ See oli <<<ADJ konkurentide korraldatud , ” on Kersti tänaseni surmkindel .",poliitiline,konkurent,yes
21,"“ See oli <<<ADJ konkurentide korraldatud , ” on Kersti tänaseni surmkindel .",riiklik,konkurent,no
22,Taal suutis visa töömehena kasvatada politseinike <<<ADJ töötasu neljandiku ja investeeringuid politseiametile 130 miljoni krooni võrra .,keskmine,töötasu,yes
23,Taal suutis visa töömehena kasvatada politseinike <<<ADJ töötasu neljandiku ja investeeringuid politseiametile 130 miljoni krooni võrra .,mõõdukas,töötasu,no
24,"Kaitseminister Andrus Öövli ja kaitseväe juhataja Johannes Kerdi vastasseis teravneb Riigikaitseakadeemia varemetel , kuhu sügiseks saabub ka haldusriigist <<<ADJ kosilasi .",unistav,kosilane,yes
25,"Kaitseminister Andrus Öövli ja kaitseväe juhataja Johannes Kerdi vastasseis teravneb Riigikaitseakadeemia varemetel , kuhu sügiseks saabub ka haldusriigist <<<ADJ kosilasi .",afektiivne,kosilane,yes
26,"Mehed ajavad tänapäeval jõukust ja võimu taga sellepärast , et meie esivanemate jõukus ja võim tagasid neile geneetilise ellujäämise nii <<<ADJ kui ka kaudsel teel .",otsene,tee,yes
27,"Mehed ajavad tänapäeval jõukust ja võimu taga sellepärast , et meie esivanemate jõukus ja võim tagasid neile geneetilise ellujäämise nii <<<ADJ kui ka kaudsel teel .",esmane,tee,no
28,"Kingo kirjeldab asjade edasist kulgu nii : “ Mu elus on toimunud teatavad otsingud eluaeg , alates keskkooliaegadest , kus noored vaidlevad väga <<<ADJ ja põhimõtteliste küsimuste üle .",suur,küsimus,yes
29,"Kingo kirjeldab asjade edasist kulgu nii : “ Mu elus on toimunud teatavad otsingud eluaeg , alates keskkooliaegadest , kus noored vaidlevad väga <<<ADJ ja põhimõtteliste küsimuste üle .",sügav,küsimus,yes
30,Kaire-Külli Kuldbek SIIRI SISASK abiellus <<<ADJ saladuskatte all teist korda .,suur,saladuskate,yes
31,Kaire-Külli Kuldbek SIIRI SISASK abiellus <<<ADJ saladuskatte all teist korda .,sügav,saladuskate,no
32,Eriti <<<ADJ abilisena tõstab Kallas esile N Liidu piirivalve poolt lõpmatus valvsuses rajatud ning tänaseni Eesti randu mööda looklevat kurikuulsat liivariba .,hindamatu,abiline,yes
33,Eriti <<<ADJ abilisena tõstab Kallas esile N Liidu piirivalve poolt lõpmatus valvsuses rajatud ning tänaseni Eesti randu mööda looklevat kurikuulsat liivariba .,oluline,abiline,yes
34,"” Eesti keeles öelduna tähendab <<<ADJ tsitaat , et Riigikohus oleks võinud tunnistada põhiseadusega vastuolevaks jälitustegevuse seaduse problemaatilise paragrahvi .",eelnev,tsitaat,yes
35,"” Eesti keeles öelduna tähendab <<<ADJ tsitaat , et Riigikohus oleks võinud tunnistada põhiseadusega vastuolevaks jälitustegevuse seaduse problemaatilise paragrahvi .",eelmine,tsitaat,yes
36,"Samas oleks isegi <<<ADJ eesmärkideni jõudmine võinud suuresti ajalugu muuta , näiteks oleks võinud terrorirünnak USA vastu jääda olemata .",ebamäärane,eesmärk,yes
37,"Samas oleks isegi <<<ADJ eesmärkideni jõudmine võinud suuresti ajalugu muuta , näiteks oleks võinud terrorirünnak USA vastu jääda olemata .",kahemõtteline,eesmärk,no
38,"Runemo saladuslike märkide seost Braavalla lahinguga oletas juba Saxo , kes muuhulgas jutustas , et “ <<<ADJ Eesti ja Kuramaa meeste salgad kindlustasid ( Ringi ) väe tiibu ” .",suur,salk,yes
39,"Runemo saladuslike märkide seost Braavalla lahinguga oletas juba Saxo , kes muuhulgas jutustas , et “ <<<ADJ Eesti ja Kuramaa meeste salgad kindlustasid ( Ringi ) väe tiibu ” .",sügav,salk,no
40,Ja <<<ADJ mootorrattad mind nii ei huvita ka .,uus,mootorratas,yes
41,Ja <<<ADJ mootorrattad mind nii ei huvita ka .,originaalne,mootorratas,yes
42,"Nii ei jäänud Eesti piimakuningatel muud üle , kui Sarmaatia näljastel lagendikel <<<ADJ kasumit korjata .",priske,kasum,yes
43,"Nii ei jäänud Eesti piimakuningatel muud üle , kui Sarmaatia näljastel lagendikel <<<ADJ kasumit korjata .",luksuslik,kasum,no
44,"Millegipärast on rootslastel <<<ADJ usk sellesse , et kui pool teenitud rahast riigile ära anda , küll siis riik oskab sellega midagi hoopis asjalikumat ette võtta .",suur,usk,yes
45,"Millegipärast on rootslastel <<<ADJ usk sellesse , et kui pool teenitud rahast riigile ära anda , küll siis riik oskab sellega midagi hoopis asjalikumat ette võtta .",sügav,usk,yes
46,“ Mul on olnud uskumatult hiilgav <<<ADJ partner .,vaimne,partner,yes
47,“ Mul on olnud uskumatult hiilgav <<<ADJ partner .,intellektuaalne,partner,yes
48,Aga muidugi on ka paigallendamine <<<ADJ oskus .,suur,oskus,yes
49,Aga muidugi on ka paigallendamine <<<ADJ oskus .,kõrge,oskus,no
50,"Hispaania kodusõtta müüdi relvastust ning laskemoona , <<<ADJ relvade , eriti lennukite tellimisega viivitati , mistõttu lennupark amortiseerus .",uus,relv,yes
51,"Hispaania kodusõtta müüdi relvastust ning laskemoona , <<<ADJ relvade , eriti lennukite tellimisega viivitati , mistõttu lennupark amortiseerus .",originaalne,relv,no
52,"Mõistavad küll : “ ... käesoleva seaduseelnõu eesmärgiks on reguleerida <<<ADJ suhteid väljaspool Venemaad elavate isikutega , kes on enamasti välisriikide kodanikud .",õiguslik,suhe,yes
53,"Mõistavad küll : “ ... käesoleva seaduseelnõu eesmärgiks on reguleerida <<<ADJ suhteid väljaspool Venemaad elavate isikutega , kes on enamasti välisriikide kodanikud .",juriidiline,suhe,yes
54,Samal ajal surus <<<ADJ eestlane naeratades USA presidentide vastuvõttudel - stiilis meeldiv-teid-näha-kuidas-käsi-käib - N Liidu suursaadiku kätt .,soliidne,eestlane,yes
55,Samal ajal surus <<<ADJ eestlane naeratades USA presidentide vastuvõttudel - stiilis meeldiv-teid-näha-kuidas-käsi-käib - N Liidu suursaadiku kätt .,auväärne,eestlane,yes
56,Tehnilise Järelevalve Ameti Tartu piirkonnal pole andmeid ei Võrus ega ka Tartus <<<ADJ tankla kohta .,töötav,tankla,yes
57,Tehnilise Järelevalve Ameti Tartu piirkonnal pole andmeid ei Võrus ega ka Tartus <<<ADJ tankla kohta .,mõjukas,tankla,yes
58,"“ Ta on hästi <<<ADJ tüüp , kellel pole millestki kahju .",emalik,tüüp,yes
59,"“ Ta on hästi <<<ADJ tüüp , kellel pole millestki kahju .",isalik,tüüp,yes
60,Osa neist on eesti keele unustanud ( 30. - 50. aastate põlgus väikekeelte vastu Venemaal ) ; <<<ADJ ametliku statistika järgi 1989. aastast oli eestlasi Leningradis 4600.,viimane,statistika,yes
61,Osa neist on eesti keele unustanud ( 30. - 50. aastate põlgus väikekeelte vastu Venemaal ) ; <<<ADJ ametliku statistika järgi 1989. aastast oli eestlasi Leningradis 4600.,püsiv,statistika,no
62,"Kõikvõimalikud väitlused , komsomolile “ käru keeramine ” ja huvi Lääne <<<ADJ filosoofia vastu oli ühisosa , mis seda sõpruskonda liitis .",kaasaegne,filosoofia,yes
63,"Kõikvõimalikud väitlused , komsomolile “ käru keeramine ” ja huvi Lääne <<<ADJ filosoofia vastu oli ühisosa , mis seda sõpruskonda liitis .",popp,filosoofia,yes
64,"Kirujad panevad Laari <<<ADJ süüks Eesti põllumajanduse põhjalaskmist , imetlejad väidavad , et ilma Laarita ei oleks Eesti iialgi sellist kiirendust saavutanud .",peamine,süü,yes
65,"Kirujad panevad Laari <<<ADJ süüks Eesti põllumajanduse põhjalaskmist , imetlejad väidavad , et ilma Laarita ei oleks Eesti iialgi sellist kiirendust saavutanud .",eriline,süü,no
66,Pärast kaitsepolitsei 2. osakonna direktori ametipostilt lahkumist poolte kokkuleppel oli Priit Tikerpe selles <<<ADJ firmas üks kahest juhatuse liikmest .,väike,firma,yes
67,Pärast kaitsepolitsei 2. osakonna direktori ametipostilt lahkumist poolte kokkuleppel oli Priit Tikerpe selles <<<ADJ firmas üks kahest juhatuse liikmest .,noor,firma,yes
68,"Nõukogude ajal moodustas kaubavahetus Venemaaga Soome väliskaubandusest kohati üle neljandiku , 1990-ndate alguses oli <<<ADJ mõõn .",suur,mõõn,yes
69,"Nõukogude ajal moodustas kaubavahetus Venemaaga Soome väliskaubandusest kohati üle neljandiku , 1990-ndate alguses oli <<<ADJ mõõn .",sügav,mõõn,no
70,"Äkki ütles <<<ADJ vang vene keeles : “ Jaan , ma mõtlesin sind mitu korda maha lasta .",endine,vang,yes
71,"Äkki ütles <<<ADJ vang vene keeles : “ Jaan , ma mõtlesin sind mitu korda maha lasta .",omaaegne,vang,yes
72,"Juubeli puhul ilmunud lisa esimeses lauses pannakse Eesti paika kui riik , kus on “ pandud alus <<<ADJ Põhjala demokraatiale Läänemere idakaldal ” .",uus,demokraatia,yes
73,"Juubeli puhul ilmunud lisa esimeses lauses pannakse Eesti paika kui riik , kus on “ pandud alus <<<ADJ Põhjala demokraatiale Läänemere idakaldal ” .",originaalne,demokraatia,no
74,Seisis <<<ADJ aluspesus tünnis .,pikk,aluspesu,yes
75,Seisis <<<ADJ aluspesus tünnis .,kauge,aluspesu,no
76,<<<ADJ näiteid on maailma erinevate riikide kaugemast ja lähemast minevikust palju tuua .,sellekohane,näide,yes
77,<<<ADJ näiteid on maailma erinevate riikide kaugemast ja lähemast minevikust palju tuua .,sobiv,näide,yes
78,"Jaanus Hämarsoo “ Mu suhted on seni kõik läbi kukkunud , ” pihib BEATRICE , kes on <<<ADJ armastuse , DJ PRIIT KUUSIKu kõrval saanud üle alkoholismist .",uus,armastus,yes
79,"Jaanus Hämarsoo “ Mu suhted on seni kõik läbi kukkunud , ” pihib BEATRICE , kes on <<<ADJ armastuse , DJ PRIIT KUUSIKu kõrval saanud üle alkoholismist .",originaalne,armastus,no
80,"” André Breton kirjutas sürrealismi manifestis , et kunagi sulavad kaks väliselt nii vastandlikku olemise viisi - uni ja reaalsus - kokku teatavaks <<<ADJ reaalsuseks - sürreaalsuseks .",absoluutne,reaalsus,yes
81,"” André Breton kirjutas sürrealismi manifestis , et kunagi sulavad kaks väliselt nii vastandlikku olemise viisi - uni ja reaalsus - kokku teatavaks <<<ADJ reaalsuseks - sürreaalsuseks .",lõputu,reaalsus,no
82,"Millised uut tüüpi poliitilised institutsioonid saavad seda ellu viia , kui <<<ADJ rahvusriigid on sama asja ees võimetud ?",suur,rahvusriik,yes
83,"Millised uut tüüpi poliitilised institutsioonid saavad seda ellu viia , kui <<<ADJ rahvusriigid on sama asja ees võimetud ?",sügav,rahvusriik,no
84,"” Ehkki Kirss räägib oma Palmse majapidamisest ja vanade liikurvahendite eest hoolitsemisest <<<ADJ soojusega , ei usu ta rahulikku rantjee-ellu kuigivõrd .",suur,soojus,yes
85,"” Ehkki Kirss räägib oma Palmse majapidamisest ja vanade liikurvahendite eest hoolitsemisest <<<ADJ soojusega , ei usu ta rahulikku rantjee-ellu kuigivõrd .",kõrge,soojus,no
86,” <<<ADJ suurem tegu on liivi kultuuri ajaloo kirjapanemine .,järgmine,tegu,yes
87,” <<<ADJ suurem tegu on liivi kultuuri ajaloo kirjapanemine .,järgnev,tegu,yes
88,"Tänu sellele suutis Soome ehitada niisuguse ühiskondliku infrastruktuuri , mis oli <<<ADJ riigi arenguks .",vältimatu,areng,yes
89,"Tänu sellele suutis Soome ehitada niisuguse ühiskondliku infrastruktuuri , mis oli <<<ADJ riigi arenguks .",hädavajalik,areng,yes
90,"Ilmselt on Eestil ees Saksamaaga sarnane arengutee , kus <<<ADJ turgudel kaubeldakse lillede ja kompvekkidega , kinnistel liha ja kalaga , nn. täiturud on aga ülejäänud turgudest eraldi .",lahtine,turg,yes
91,"Ilmselt on Eestil ees Saksamaaga sarnane arengutee , kus <<<ADJ turgudel kaubeldakse lillede ja kompvekkidega , kinnistel liha ja kalaga , nn. täiturud on aga ülejäänud turgudest eraldi .",katmata,turg,yes
92,"” Vilba arvates ei pea majadki enam olema suured ja massiivsed , vaid <<<ADJ ehitused , mida vajadusel saab üsna lihtsalt ümber ehitada või lausa lammutada .",kerge,ehitus,yes
93,"” Vilba arvates ei pea majadki enam olema suured ja massiivsed , vaid <<<ADJ ehitused , mida vajadusel saab üsna lihtsalt ümber ehitada või lausa lammutada .",meelelahutuslik,ehitus,no
94,Üliõpilaste <<<ADJ hindamine võib tõepoolest argumenteerimatuse korral õppejõule liiga teha .,anonüümne,hindamine,yes
95,Üliõpilaste <<<ADJ hindamine võib tõepoolest argumenteerimatuse korral õppejõule liiga teha .,teadmata,hindamine,yes
96,Aidsi kui rahalehma ründamise eest ei jaota <<<ADJ autasusid aga keegi .,rahaline,autasu,yes
97,Aidsi kui rahalehma ründamise eest ei jaota <<<ADJ autasusid aga keegi .,likviidne,autasu,no
98,"” Hariduse ja tervishoiu edendamise kõrval peab Pettai oluliseks väike- ja keskmise ettevõtluse arengu toetamist , sest see on paljudele madalkihtidesse või ka napivõitu <<<ADJ kihtidesse kuulujatele võimalikuks “ liftiks ” , mis neid ühiskonnas ülespoole sõidutaks .",keskmine,kiht,yes
99,"” Hariduse ja tervishoiu edendamise kõrval peab Pettai oluliseks väike- ja keskmise ettevõtluse arengu toetamist , sest see on paljudele madalkihtidesse või ka napivõitu <<<ADJ kihtidesse kuulujatele võimalikuks “ liftiks ” , mis neid ühiskonnas ülespoole sõidutaks .",leplik,kiht,no
100,"Samuti aitasid salaküttimist ohjeldada alligaatorifarmid , mis pakkusid nõutud liha ja nahka <<<ADJ teel .",seaduslik,tee,yes
101,"Samuti aitasid salaküttimist ohjeldada alligaatorifarmid , mis pakkusid nõutud liha ja nahka <<<ADJ teel .",legaalne,tee,yes
102,Politseist lahkudes lehvitab <<<ADJ laulja võmmi-onule : “ No ma vist ikka ei saa hakata siin laskmas käima !,väike,laulja,yes
103,Politseist lahkudes lehvitab <<<ADJ laulja võmmi-onule : “ No ma vist ikka ei saa hakata siin laskmas käima !,noor,laulja,yes
104,"Mitterrand oli “ suur prantslane ” , kes teadlikult distantseerus parteipoliitilistest joontest ülespoole ning oma positsioonide kindlustamiseks ei kartnud ta ka väikseid <<<ADJ trikke .",räpane,trikk,yes
105,"Mitterrand oli “ suur prantslane ” , kes teadlikult distantseerus parteipoliitilistest joontest ülespoole ning oma positsioonide kindlustamiseks ei kartnud ta ka väikseid <<<ADJ trikke .",tolmune,trikk,no
106,"Viimasel ajal tehtud ülesvõtteid vaadates tundub aga , et naise rinnaümbermõõt on <<<ADJ numbritega võrreldes tunduvalt kahanenud .",kunagine,number,yes
107,"Viimasel ajal tehtud ülesvõtteid vaadates tundub aga , et naise rinnaümbermõõt on <<<ADJ numbritega võrreldes tunduvalt kahanenud .",läinud,number,yes
108,"Kuidas täpselt , ei jõudnud president <<<ADJ ajagraafiku tõttu selgitada , samuti ei saanud enne numbri trükkiminekut selles selgust pressinõunik Ester Šank .",tihe,ajagraafik,yes
109,"Kuidas täpselt , ei jõudnud president <<<ADJ ajagraafiku tõttu selgitada , samuti ei saanud enne numbri trükkiminekut selles selgust pressinõunik Ester Šank .",tihke,ajagraafik,no
110,Eesti elu pakub üha <<<ADJ peategelastega vaatemänge .,uus,peategelane,yes
111,Eesti elu pakub üha <<<ADJ peategelastega vaatemänge .,originaalne,peategelane,no
112,"Et aga Hispaania oli just vabanenud diktaator Francost ja kogu <<<ADJ õhkkond oli äärmiselt liberaalne , siis hispaanlased võtsid kätte ja andsid “ Emmanuelle'ile ” preemia .",ühiskondlik,õhkkond,yes
113,"Et aga Hispaania oli just vabanenud diktaator Francost ja kogu <<<ADJ õhkkond oli äärmiselt liberaalne , siis hispaanlased võtsid kätte ja andsid “ Emmanuelle'ile ” preemia .",arvukas,õhkkond,no
114,"Kuid välisluure arvab tõenäoliselt , et tuleb otsida <<<ADJ infoallikaid : “ Pealegi läheb aeg edasi ja tuleb orienteeruda noorematele , kes on 30 - 40 , mitte aga 50 - 60 aastat vanad .",uus,infoallikas,yes
115,"Kuid välisluure arvab tõenäoliselt , et tuleb otsida <<<ADJ infoallikaid : “ Pealegi läheb aeg edasi ja tuleb orienteeruda noorematele , kes on 30 - 40 , mitte aga 50 - 60 aastat vanad .",originaalne,infoallikas,yes
116,"Relatiivsusteoorias on aeg ja ruum <<<ADJ suurused : kui mõni keha liigub või jõud mõjub , mõjutab see aja ja ruumi kõverust .",dünaamiline,suurus,yes
117,"Relatiivsusteoorias on aeg ja ruum <<<ADJ suurused : kui mõni keha liigub või jõud mõjub , mõjutab see aja ja ruumi kõverust .",aktiivne,suurus,no
118,Nii on Hawaii Mauna Kea observatooriumi <<<ADJ kõrgus peaaegu 4200 m .,absoluutne,kõrgus,yes
119,Nii on Hawaii Mauna Kea observatooriumi <<<ADJ kõrgus peaaegu 4200 m .,lõputu,kõrgus,no
120,"Sellised on olnud nädala lööklaused teemal , kuidas Eesti Politsei <<<ADJ perekonda ahistab .",kaitsetu,perekond,yes
121,"Sellised on olnud nädala lööklaused teemal , kuidas Eesti Politsei <<<ADJ perekonda ahistab .",abitu,perekond,yes
122,Muidugi pakkus too masin ka midagi positiivset - igapäevaeluks <<<ADJ tooteid ja ennekõike teadmisi .,vajalik,toode,yes
123,Muidugi pakkus too masin ka midagi positiivset - igapäevaeluks <<<ADJ tooteid ja ennekõike teadmisi .,hädavajalik,toode,yes
124,Polaarjoone taga läheb päeval valgeks vaid mõneks tunniks ja madalal tundrute kohal <<<ADJ päike 20-kraadist pakaseilma soojaks ei küta .,veniv,päike,yes
125,Polaarjoone taga läheb päeval valgeks vaid mõneks tunniks ja madalal tundrute kohal <<<ADJ päike 20-kraadist pakaseilma soojaks ei küta .,elastne,päike,no
126,"Kes jäid ilma ühest või teisest osalusest , suunasid raha <<<ADJ väljaannete üllitamisele .",uus,väljaanne,yes
127,"Kes jäid ilma ühest või teisest osalusest , suunasid raha <<<ADJ väljaannete üllitamisele .",originaalne,väljaanne,yes
128,"Kui seda <<<ADJ asjaoludel teha ei saa , siis tuleb selleks luua poliitilised võimalused .",objektiivne,asjaolu,yes
129,"Kui seda <<<ADJ asjaoludel teha ei saa , siis tuleb selleks luua poliitilised võimalused .",aineline,asjaolu,no
130,"Kuigi Andrei ja Leonid on <<<ADJ poisid , proovivad nad tülidest hoiduda .",turjakas,poiss,yes
131,"Kuigi Andrei ja Leonid on <<<ADJ poisid , proovivad nad tülidest hoiduda .",kogukas,poiss,yes
132,"On <<<ADJ luksus minna õppima kõrge õppemaksuga kooli eriala , millel tulevikus tööle ei asu .",suur,luksus,yes
133,"On <<<ADJ luksus minna õppima kõrge õppemaksuga kooli eriala , millel tulevikus tööle ei asu .",sügav,luksus,no
134,<<<ADJ toetajad on muide tähtsatel positsioonidel meedias .,viimane,toetaja,yes
135,<<<ADJ toetajad on muide tähtsatel positsioonidel meedias .,püsiv,toetaja,yes
136,"Sel sajandil leiti , et <<<ADJ kolesterooli- ja küllastunud rasvhappesisaldusega loomsed rasvad tõstavad südameveresoonkonnahaiguste riski .",kõrge,kolesterool,yes
137,"Sel sajandil leiti , et <<<ADJ kolesterooli- ja küllastunud rasvhappesisaldusega loomsed rasvad tõstavad südameveresoonkonnahaiguste riski .",kõrguv,kolesterool,no
138,Kingituse vastuvõtmine võimaldas Eesti majandusministeeriumil Silmeti abiga pesta osa <<<ADJ üleliidulise kompartei rahast .,kunagine,raha,yes
139,Kingituse vastuvõtmine võimaldas Eesti majandusministeeriumil Silmeti abiga pesta osa <<<ADJ üleliidulise kompartei rahast .,läinud,raha,yes
140,Möödunud sajandi 90. aastail kutsutigi <<<ADJ õhupalle ballons perdus - kaotatud õhupallid .,väike,õhupall,yes
141,Möödunud sajandi 90. aastail kutsutigi <<<ADJ õhupalle ballons perdus - kaotatud õhupallid .,keskpärane,õhupall,yes
142,Kõigepealt on muidugi vaja rahuldada <<<ADJ inimlikud vajadused - tarvidus toidu ja peavarju järele .,esmane,vajadus,yes
143,Kõigepealt on muidugi vaja rahuldada <<<ADJ inimlikud vajadused - tarvidus toidu ja peavarju järele .,algupärane,vajadus,yes
144,<<<ADJ panuse Mõisa tänasesse varakusse tõi abielulahutus .,suur,panus,yes
145,<<<ADJ panuse Mõisa tänasesse varakusse tõi abielulahutus .,kõrge,panus,yes
146,Närvivõrgud on elusorganismide närvisüsteemi lihtsustatud <<<ADJ mudelid .,matemaatiline,mudel,yes
147,Närvivõrgud on elusorganismide närvisüsteemi lihtsustatud <<<ADJ mudelid .,aritmeetiline,mudel,no
148,"Keskpangal on küllaga vaeva , et ära seedida 10 miljoni dollari kaotamisega <<<ADJ nn. Shveitsi afäär või 180 miljoni rubla sattumine Toivo Kurmeti pangaarvele .",seotud,afäär,yes
149,"Keskpangal on küllaga vaeva , et ära seedida 10 miljoni dollari kaotamisega <<<ADJ nn. Shveitsi afäär või 180 miljoni rubla sattumine Toivo Kurmeti pangaarvele .",siduv,afäär,no
150,"” ) Oluline on rõhutada , et Vene kodakondsus ei ole üldjuhul <<<ADJ meelsuse või orientatsiooni indikaator .",poliitiline,meelsus,yes
151,"” ) Oluline on rõhutada , et Vene kodakondsus ei ole üldjuhul <<<ADJ meelsuse või orientatsiooni indikaator .",riiklik,meelsus,yes
152,"<<<ADJ tuli ja eneseusk on need , mis ta tippu viisid .",sisemine,tuli,yes
153,"<<<ADJ tuli ja eneseusk on need , mis ta tippu viisid .",tubane,tuli,no
154,Oma “ firma ” ( siseministeeriumi ) ja iseenda <<<ADJ äraelamiseks pigistatakse rahast tühjaks alluvat ametkonda ehk politseid .,lahe,äraelamine,yes
155,Oma “ firma ” ( siseministeeriumi ) ja iseenda <<<ADJ äraelamiseks pigistatakse rahast tühjaks alluvat ametkonda ehk politseid .,mitteametlik,äraelamine,no
156,Ka mitte <<<ADJ palga eest .,kõrge,palk,yes
157,Ka mitte <<<ADJ palga eest .,kõrguv,palk,no
158,Mõne hetke pärast pistab pastor Kaupo Padar noorpaarile sõrmused sõrme ning pühakoja lae alla lennutatakse kaks <<<ADJ jah-sõna .,selgesõnaline,jah-sõna,yes
159,Mõne hetke pärast pistab pastor Kaupo Padar noorpaarile sõrmused sõrme ning pühakoja lae alla lennutatakse kaks <<<ADJ jah-sõna .,ilmekas,jah-sõna,yes
160,Kust leitakse <<<ADJ raha ?,vajaminev,raha,yes
161,Kust leitakse <<<ADJ raha ?,hädavajalik,raha,yes
162,"Kui vastuseks on naer , on Jürgen rahul ja naerab ka ise <<<ADJ häälega .",suur,hääl,yes
163,"Kui vastuseks on naer , on Jürgen rahul ja naerab ka ise <<<ADJ häälega .",sügav,hääl,yes
164,“ Need on klass vaesemad mehed kui <<<ADJ maainimesed .,keskmine,maainimene,yes
165,“ Need on klass vaesemad mehed kui <<<ADJ maainimesed .,leplik,maainimene,yes
166,Miks ei võiks Balti piirkonnal olla oma <<<ADJ julgeolekusüsteemi ?,regionaalne,julgeolekusüsteem,yes
