,adjective,noun,hinnang
185,kauge,jalutuskäik,yes
186,lilla,nägu,yes
187,lillakas,nägu,yes
188,pikk,tee,yes
189,kauge,tee,yes
190,uus,ülem,yes
191,originaalne,ülem,yes
192,kerge,treening,yes
193,põgus,treening,yes
194,endine,ruum,yes
195,omaaegne,ruum,yes
196,esmane,vaatamine,yes
197,algupärane,vaatamine,yes
198,väike,kiri,yes
199,keskpärane,kiri,yes
