,subject,verb,object,hinnang,probability
114,Piret,saama,võimalus,yes,0.00012120953704224798
115,võimalus,saama,Piret,yes,0.0008045992630962124
116,tema,soovima,anonüümsus,yes,0.00016215220580938913
117,anonüümsus,soovima,tema,no,7.9673232167952e-07
118,mina,mõistma,emotsioon,yes,0.00011252929409020354
119,emotsioon,mõistma,mina,yes,2.8201686052962532e-06
120,mina,anuma,tema,yes,0.0017942956801551512
121,tema,anuma,mina,yes,0.002294955309802041
122,sina,harjutama,hääl,yes,1.2502079454271108e-05
123,hääl,harjutama,sina,yes,1.5880320524375364e-06
124,daam,tooma,koopia,yes,3.6534959326930814e-05
125,koopia,tooma,daam,yes,6.901306105549306e-05
126,mees,tõestama,vaim,yes,2.0968430887018228e-05
127,vaim,tõestama,mees,no,6.949873253156611e-08
128,lavastaja,kirjutama,korts,no,2.6874366413889256e-07
129,korts,kirjutama,lavastaja,no,4.597174572995563e-07
130,nimetus,tegema,iirlane,yes,3.085533578631004e-07
131,iirlane,tegema,nimetus,yes,2.1056147145728138e-05
132,pank,andma,laen,yes,0.0014536321661187215
133,laen,andma,pank,yes,4.8610295801871845e-05
134,kõik,kohendama,välimus,yes,2.502606093596067e-05
135,välimus,kohendama,kõik,yes,1.9346666514171113e-06
136,riik,tundma,ise,yes,0.00029912545560938666
137,ise,tundma,riik,no,1.6705919561469772e-07
138,alkohol,hävitama,indiaanlane,yes,2.6362902142741972e-05
139,indiaanlane,hävitama,alkohol,no,1.588433308060675e-08
140,Alex,muutma,mina,yes,1.403764496206055e-06
141,mina,muutma,Alex,yes,5.772095508051408e-07
142,tema,soetama,majake,no,6.588377386005714e-07
143,majake,soetama,tema,no,7.328031507707136e-09
144,tema,lubama,osa,yes,3.376425136682963e-05
145,osa,lubama,tema,yes,1.113131700004294e-05
146,film,võitma,Oscari,yes,0.001894038008582236
147,Oscari,võitma,film,yes,0.000458594091279095
148,abielupaar,veetma,hetk,yes,0.0002464866713535654
149,hetk,veetma,abielupaar,no,1.8855757034891576e-08
150,sina,kiitma,nõustaja,yes,4.9659022942350656e-05
151,nõustaja,kiitma,sina,yes,1.958558808010414e-05
152,lõppemine,vähendama,tootmine,yes,0.00278697510374538
153,tootmine,vähendama,lõppemine,no,1.502563954897836e-08
154,ellusuhtumine,soosima,nähtus,yes,1.2140733577174587e-06
155,nähtus,soosima,ellusuhtumine,yes,3.268029136538673e-08
156,koolitüdruk,looma,konkurent,yes,4.580635998211492e-06
157,konkurent,looma,koolitüdruk,yes,9.654196301573893e-08
158,vili,rääkima,pisiasi,yes,2.1483167477776755e-05
159,pisiasi,rääkima,vili,no,4.533056815926992e-08
160,raport,käsitlema,maks,yes,1.362878854894612e-05
161,maks,käsitlema,raport,yes,1.5133767361343786e-05
162,nägemus,panema,kriitik,yes,4.0288482664867144e-05
163,kriitik,panema,nägemus,yes,1.926279814878043e-05
164,järelkasv,tegema,mure,yes,0.002514772442596396
165,mure,tegema,järelkasv,no,2.837871370204508e-08
166,see,tähendama,beebi,yes,3.054884479351941e-05
167,beebi,tähendama,see,yes,6.396717403083161e-05
168,tüdruk,piirama,mina,yes,2.164407081854885e-06
169,mina,piirama,tüdruk,no,2.52253801058204e-09
170,tema,jätma,mina,yes,0.00045693538484490654
171,mina,jätma,tema,yes,0.00021586301374483638
172,tema,kasutama,privileeg,yes,0.0027325728819256098
173,privileeg,kasutama,tema,no,7.453436098847107e-07
174,astronaut,külastama,kosmosejaam,yes,0.0019832797519383602
175,kosmosejaam,külastama,astronaut,no,5.958402974457253e-10
176,rühm,sisaldama,laps,no,3.8674671941270796e-07
177,laps,sisaldama,rühm,no,3.2062860613412074e-07
178,mina,tahtma,kass,yes,0.00027229803462712325
179,kass,tahtma,mina,yes,1.9569040886108415e-05
180,lennuk,saama,viga,yes,0.00022451166593475625
181,viga,saama,lennuk,yes,0.0008908437494689937
182,Bill,saama,ametikoht,yes,0.0003143153091773058
183,ametikoht,saama,Bill,no,2.6873663447258867e-06
184,tema,vaatama,tegelikkus,yes,0.0002238921763991994
185,tegelikkus,vaatama,tema,yes,3.30857446807592e-06
186,mina,küsima,asi,yes,0.0002361795313135611
187,asi,küsima,mina,no,2.599779508042291e-07
188,mis,tegema,naine,yes,0.0002882425949388924
189,naine,tegema,mis,yes,0.0011027465464434356
190,ema,õpetama,see,yes,0.00013887214478062242
191,see,õpetama,ema,yes,7.442412755659978e-05
192,lugu,saama,algus,yes,0.007157234459734714
193,algus,saama,lugu,yes,0.00010753215811210636
194,tema,valima,jalgpall,yes,0.00021601742297816537
195,jalgpall,valima,tema,yes,1.813144202564057e-05
196,sulgemine,kaotama,haigus,no,9.269935456740674e-07
197,haigus,kaotama,sulgemine,no,4.68192963877237e-10
198,kaupmees,kindlustama,kõik,no,8.739401229047076e-07
199,kõik,kindlustama,kaupmees,no,3.967609378562595e-07
