,subject,verb,object,hinnang,probability
52,roos,kaunistama,kirik,yes,0.00027113581462201837
53,kirik,kaunistama,roos,yes,3.082180307829173e-06
54,nälg,lükkama,globaliseerumine,yes,7.771307343124215e-06
55,globaliseerumine,lükkama,nälg,yes,2.3731902343538153e-06
56,mina,korjama,see,yes,2.391926538511379e-05
57,see,korjama,mina,yes,1.827782840949745e-06
58,klient,saama,kroon,yes,0.0014173554554869489
59,kroon,saama,klient,yes,0.000108206464811627
60,ühendus,panema,äriplaan,yes,1.6276867682351256e-05
61,äriplaan,panema,ühendus,yes,2.051962988098568e-06
62,rahvas,valima,poliitika,yes,0.00027172615672303957
63,poliitika,valima,rahvas,yes,3.2875919947304545e-05
64,suursaadik,seletama,seis,yes,1.6262665612874907e-05
65,seis,seletama,suursaadik,no,7.832010416189191e-11
66,haridusministeerium,valima,tee,yes,5.85756773362475e-05
67,tee,valima,haridusministeerium,no,2.2633117117198945e-08
68,kroon,tasandama,lõhe,no,1.1007978295640804e-07
69,lõhe,tasandama,kroon,no,7.833709911715585e-07
70,see,kontrollima,kuju,yes,4.023271303722698e-06
71,kuju,kontrollima,see,no,3.903090421864559e-08
72,koolijuht,laiutama,käsi,yes,0.0022932245140925593
73,käsi,laiutama,koolijuht,no,4.218294087154196e-06
74,Ülle,võtma,suund,yes,0.0009248023652528677
75,suund,võtma,Ülle,yes,0.0004146307895678397
76,sõrmus,maksma,kroon,yes,0.004618856502730794
77,kroon,maksma,sõrmus,no,3.979659937771282e-08
78,kriitika,tõmbama,paralleel,yes,0.0012012949618554307
79,paralleel,tõmbama,kriitika,no,7.22225864433547e-06
80,surmahirm,valdama,inimene,no,4.650363502799139e-07
81,inimene,valdama,surmahirm,no,2.5987896348717367e-07
82,mina,armastama,rattasõit,yes,0.0009097758430411619
83,rattasõit,armastama,mina,no,8.370096287131907e-07
84,loom,vajama,luu,no,3.163811580046277e-08
85,luu,vajama,loom,yes,7.909926924938208e-06
86,teadlane,tegema,töö,yes,0.0017943436360383575
87,töö,tegema,teadlane,yes,0.00019620330180703682
88,vanaisa,säästma,raha,yes,2.608142408720768e-05
89,raha,säästma,vanaisa,no,2.3754485035538632e-07
90,kohus,ennistama,Jüri,yes,0.0017994531500504672
91,Jüri,ennistama,kohus,no,4.798892091916836e-07
92,pisik,jätma,auk,yes,3.7757176142766894e-05
93,auk,jätma,pisik,no,1.724597227874139e-07
94,keegi,tooma,miski,yes,1.326717758295195e-05
95,miski,tooma,keegi,yes,2.9161396792841433e-05
96,tema,esitlema,plakat,yes,4.210938220429375e-06
97,plakat,esitlema,tema,yes,1.2609185462640848e-05
98,professor,pidama,muutumine,yes,0.00019640161828671156
99,muutumine,pidama,professor,yes,4.953034901032203e-06
100,mina,ajama,Paide,no,5.587709688211274e-07
101,Paide,ajama,mina,yes,6.427488529653076e-05
102,inspektor,tegema,akt,yes,0.000351769457703047
103,akt,tegema,inspektor,yes,7.425518926532725e-05
104,tema,armastama,mina,yes,0.0025981632548702444
105,mina,armastama,tema,yes,0.00131540148688043
106,ametnik,toetama,reformikava,yes,2.7074046975309034e-06
107,reformikava,toetama,ametnik,yes,2.9846506517513926e-06
108,mina,kirjutama,lugu,yes,0.000809453437604756
109,lugu,kirjutama,mina,no,1.767407310642654e-06
110,ülemus,sõimama,nägu,yes,1.5132167691326106e-05
111,nägu,sõimama,ülemus,yes,1.2548783989331107e-05
112,tema,pidama,leidmine,yes,0.003371692463580446
113,leidmine,pidama,tema,no,1.317778960496219e-05
114,ühend,ajama,kompass,yes,0.0011718101137250542
115,kompass,ajama,ühend,no,6.647046249874173e-08
116,sõdur,heitma,pilk,yes,0.0006413950834236995
117,pilk,heitma,sõdur,no,1.021066155124732e-09
118,maailmasõda,maksma,eksistents,no,2.666109475907944e-07
119,eksistents,maksma,maailmasõda,no,1.5090774095938396e-08
120,langemine,tõmbama,Euroopa,yes,3.618407487366246e-06
121,Euroopa,tõmbama,langemine,no,8.837127576407819e-09
122,kolmandik,ostma,miski,yes,3.5631536907931294e-06
123,miski,ostma,kolmandik,no,4.793342598524595e-09
124,tema,jagama,aeg,yes,0.000127642802848801
125,aeg,jagama,tema,no,1.1447055779837138e-06
126,Marko,järgima,maitse,no,4.6638012207430424e-11
127,maitse,järgima,Marko,no,2.9236240553281347e-08
128,mina,panema,nimi,yes,0.00048273959837932004
129,nimi,panema,mina,yes,7.678159755575687e-05
130,tema,pidama,mees,yes,0.0009901372421900147
131,mees,pidama,tema,yes,0.00019931807493789183
132,väljakutse,tingima,see,yes,3.034304255517364e-05
133,see,tingima,väljakutse,yes,8.02769797976264e-05
134,instants,jätma,nõue,yes,0.0001043694035269702
135,nõue,jätma,instants,yes,0.00025532387650424577
136,mina,tundma,see,yes,0.00017330691594025317
137,see,tundma,mina,yes,1.6511543030052472e-05
138,ema,süüdistama,kool,yes,3.5830796214523317e-05
139,kool,süüdistama,ema,yes,4.7890744235878326e-05
140,töötaja,blokeerima,otsus,yes,1.425284635482064e-05
141,otsus,blokeerima,töötaja,yes,2.1768558535261795e-07
142,Julia,teadma,miski,yes,4.546860474232631e-05
143,miski,teadma,Julia,no,3.3085844618655096e-08
144,naine,tegema,kõik,yes,0.0018548292653790867
145,kõik,tegema,naine,yes,5.435618510552908e-05
146,Kristina,halvustama,tema,yes,1.5958847629030704e-05
147,tema,halvustama,Kristina,yes,0.000413976269022131
148,keegi,võtma,miski,yes,0.0004937063477590244
149,miski,võtma,keegi,yes,6.0179426104137564e-05
150,mina,igatsema,komme,yes,4.4914583141022465e-06
151,komme,igatsema,mina,no,2.245777433334255e-08
152,raha,kaitsma,ise,yes,1.2246722263352297e-05
153,ise,kaitsma,raha,yes,1.397208412809257e-07
154,trenn,andma,energia,yes,0.0005187279622237475
155,energia,andma,trenn,no,4.681834480403306e-06
156,mina,lõpetama,vaatamine,yes,0.0006861770627647057
157,vaatamine,lõpetama,mina,no,8.204238596161589e-08
158,Peeter,ostma,asi,yes,5.5164473914215145e-05
159,asi,ostma,Peeter,no,3.6436530570062405e-09
160,laps,veetma,suvevaheaeg,yes,0.0301735130913162
161,suvevaheaeg,veetma,laps,no,2.692566949700695e-08
162,inimene,otsima,põhjus,yes,0.0007221738722283646
163,põhjus,otsima,inimene,no,8.004398526954573e-08
164,see,pigistama,tema,yes,1.6815069555035313e-05
165,tema,pigistama,see,yes,0.00015441374855115666
166,laps,vajama,isa,yes,0.00017628062099187306
167,isa,vajama,laps,yes,6.1095740050787245e-06
168,mees,võtma,oma,yes,0.0006190258248030764
169,oma,võtma,mees,yes,6.490743909390732e-05
170,mina,lugema,see,yes,0.0004869305663557838
171,see,lugema,mina,yes,1.598095593762824e-05
172,sarnasus,tooma,peaosa,yes,1.6948120341438055e-05
173,peaosa,tooma,sarnasus,yes,1.826890251575442e-05
174,teine,tegema,see,yes,0.002037668185005603
175,see,tegema,teine,yes,0.0004375237066293536
176,Ülikool,edestama,tehnikaülikool,yes,3.582820761408264e-07
177,tehnikaülikool,edestama,Ülikool,yes,1.153728863341039e-06
178,töötaja,nägema,auto,yes,2.8073134464891367e-05
179,auto,nägema,töötaja,yes,3.5636532452820476e-06
180,tema,tegema,kahi,yes,0.0033477479295484437
181,kahi,tegema,tema,yes,7.803154182501455e-05
182,tema,tegema,mis,yes,0.0034978467551840123
183,mis,tegema,tema,yes,0.0003646466155023594
184,muu,juhtima,kool,yes,1.5257926991814791e-05
185,kool,juhtima,muu,yes,4.817747852514663e-07
186,sobivus,mängima,roll,yes,0.00021335088410104298
187,roll,mängima,sobivus,no,1.749109394331533e-09
188,sina,õppima,mis,yes,0.0002275733467276105
189,mis,õppima,sina,no,5.72395393726114e-07
190,kindral,andma,see,yes,2.9942457125953432e-05
191,see,andma,kindral,yes,0.00012261783863338474
192,Siiri,tundma,puudus,yes,0.001509327625690869
193,puudus,tundma,Siiri,no,1.6356828184937707e-09
194,merejalaväelane,demonstreerima,võte,no,2.5565161542237342e-08
195,võte,demonstreerima,merejalaväelane,no,5.113394704297851e-10
196,tehas,tegema,koostöö,yes,0.0005979606422692548
197,koostöö,tegema,tehas,yes,3.588025714334936e-05
198,mina,võtma,sõna,yes,0.0023976152933273807
199,sõna,võtma,mina,yes,0.00013934353851045844
