,subject,verb,object,hindaja1
143,miski,teadma,Julia,no
144,naine,tegema,kõik,yes
145,kõik,tegema,naine,yes
146,Kristina,halvustama,tema,yes
147,tema,halvustama,Kristina,yes
148,keegi,võtma,miski,yes
149,miski,võtma,keegi,yes
150,mina,igatsema,komme,yes
151,komme,igatsema,mina,no
152,raha,kaitsma,ise,no
153,ise,kaitsma,raha,yes
154,trenn,andma,energia,yes
155,energia,andma,trenn,no
156,mina,lõpetama,vaatamine,yes
157,vaatamine,lõpetama,mina,no
158,Peeter,ostma,asi,yes
159,asi,ostma,Peeter,no
160,laps,veetma,suvevaheaeg,yes
161,suvevaheaeg,veetma,laps,no
162,inimene,otsima,põhjus,yes
163,põhjus,otsima,inimene,no
164,see,pigistama,tema,yes
165,tema,pigistama,see,yes
166,laps,vajama,isa,yes
167,isa,vajama,laps,yes
168,mees,võtma,oma,yes
169,oma,võtma,mees,no
170,mina,lugema,see,yes
171,see,lugema,mina,no
172,sarnasus,tooma,peaosa,yes
173,peaosa,tooma,sarnasus,yes
174,teine,tegema,see,yes
175,see,tegema,teine,yes
176,Ülikool,edestama,tehnikaülikool,yes
177,tehnikaülikool,edestama,Ülikool,yes
178,töötaja,nägema,auto,yes
179,auto,nägema,töötaja,no
180,tema,tegema,kahi,yes
181,kahi,tegema,tema,no
182,tema,tegema,mis,yes
183,mis,tegema,tema,yes
184,muu,juhtima,kool,yes
185,kool,juhtima,muu,no
186,sobivus,mängima,roll,yes
187,roll,mängima,sobivus,no
188,sina,õppima,mis,yes
189,mis,õppima,sina,no
190,kindral,andma,see,yes
191,see,andma,kindral,yes
192,Siiri,tundma,puudus,yes
193,puudus,tundma,Siiri,no
194,merejalaväelane,demonstreerima,võte,yes
195,võte,demonstreerima,merejalaväelane,no
196,tehas,tegema,koostöö,yes
197,koostöö,tegema,tehas,no
198,mina,võtma,sõna,yes
199,sõna,võtma,mina,no
