,subject,verb,object,hindaja1
163,kassett,võtma,tema,no
164,tema,tooma,suitsetamine,yes
165,suitsetamine,tooma,tema,no
166,administratsioon,saama,kontroll,yes
167,kontroll,saama,administratsioon,no
168,mina,eelistama,nali,yes
169,nali,eelistama,mina,no
170,leid,andma,lootus,yes
171,lootus,andma,leid,no
172,üldeeskiri,keelama,müük,yes
173,müük,keelama,üldeeskiri,no
174,koduloom,arvama,mis,yes
175,mis,arvama,koduloom,no
176,advokaadibüroo,tundma,huvi,yes
177,huvi,tundma,advokaadibüroo,no
178,Tõnis,süütama,sigaret,yes
179,sigaret,süütama,Tõnis,no
180,Mehhiko,saama,laen,yes
181,laen,saama,Mehhiko,no
182,sina,ehitama,maja,yes
183,maja,ehitama,sina,no
184,värv,pakkuma,inspiratsioon,yes
185,inspiratsioon,pakkuma,värv,no
186,tööandja,erastama,korter,yes
187,korter,erastama,tööandja,no
188,mees,pakkuma,kompenseerimine,yes
189,kompenseerimine,pakkuma,mees,no
190,komisjon,kavandama,likvideerimine,yes
191,likvideerimine,kavandama,komisjon,no
192,Andres,kasutama,skeem,yes
193,skeem,kasutama,Andres,no
194,prokuratuur,tühistama,määrus,yes
195,määrus,tühistama,prokuratuur,no
196,äike,leidma,ohver,yes
197,ohver,leidma,äike,no
198,inimene,armastama,kunst,yes
199,kunst,armastama,inimene,no
