,subject,verb,object,hindaja1
173,nimekiri,avaldama,luup,no
174,poliitik,leidma,vastuväide,yes
175,vastuväide,leidma,poliitik,no
176,arvutus,lõhnama,absurd,no
177,absurd,lõhnama,arvutus,no
178,vald,kandma,ülalpidamiskulu,yes
179,ülalpidamiskulu,kandma,vald,no
180,mina,sööma,sült,yes
181,sült,sööma,mina,no
182,aju,jätma,sõna,yes
183,sõna,jätma,aju,no
184,mikroob,huvitama,uurija,yes
185,uurija,huvitama,mikroob,no
186,mina,suruma,käsi,yes
187,käsi,suruma,mina,no
188,elu,pakkuma,kogemus,yes
189,kogemus,pakkuma,elu,no
190,see,kompenseerima,asetus,yes
191,asetus,kompenseerima,see,yes
192,tema,pidurdama,agressiivsus,yes
193,agressiivsus,pidurdama,tema,yes
194,Ivo,pidama,sina,yes
195,sina,pidama,Ivo,yes
196,eestlane,kaotama,hing,yes
197,hing,kaotama,eestlane,no
198,mina,tegema,asi,yes
199,asi,tegema,mina,no
