,sentence,adjective,noun,
15,Teda on seni peetud oma ***** tööandjale väga ustavaks .,omaaegne,tööandja,Yes
16,Porgandit ja rooska pakkuvad rahavoogude üle otsustajad trügivad aga läbi investeeringute ja spekulatsiooni kapitali ***** võidule .,lõplik,võit,Yes
17,Porgandit ja rooska pakkuvad rahavoogude üle otsustajad trügivad aga läbi investeeringute ja spekulatsiooni kapitali ***** võidule .,viimane,võit,No
18,Esimene oli puult puule hüppavatele esivanematele eluliselt ***** oskus .,vajalik,oskus,Yes
19,Esimene oli puult puule hüppavatele esivanematele eluliselt ***** oskus .,hädavajalik,oskus,Yes
20,” ***** mõtlemise peale tuleb talle meelde enda kümnes “ juubel ” .,pikk,mõtlemine,Yes
21,” ***** mõtlemise peale tuleb talle meelde enda kümnes “ juubel ” .,kauge,mõtlemine,No
22,Fondi ***** raha eest tahavad Kristi ja Aivar stagneerunud kooliõpetajaid seksireisidele saata .,kogunev,raha,Yes
23,Fondi ***** raha eest tahavad Kristi ja Aivar stagneerunud kooliõpetajaid seksireisidele saata .,edasiviiv,raha,No
24,"Kuni rahvusvahelised investorid lasksid heldelt rahal voolata ***** riikide väärtpaberiturule , töötas kõik õlitatult .",arenev,riik,Yes
25,"Kuni rahvusvahelised investorid lasksid heldelt rahal voolata ***** riikide väärtpaberiturule , töötas kõik õlitatult .",aktiivne,riik,No
26,"Puhkeruum peab mahutama lahedalt vähemalt kaksteist inimest ning olema varustatud WC , dushiruumi , käterätikute ja ***** peegliga .",suur,peegel,Yes
27,"Puhkeruum peab mahutama lahedalt vähemalt kaksteist inimest ning olema varustatud WC , dushiruumi , käterätikute ja ***** peegliga .",sügav,peegel,No
28,"Mulle on tehtud paar ***** pakkumist ja üks neist on film , mille peaosas on Andy Garcia .",konkreetne,pakkumine,Yes
29,"Mulle on tehtud paar ***** pakkumist ja üks neist on film , mille peaosas on Andy Garcia .",minimalistlik,pakkumine,No
30,"Sellest lähtuvalt väidab suur osa eelfinantseeritava pensionikindlustuse süsteemi pooldajaid , et reform võimaldab suurendada tööhõivet ***** tööjõu pakkumise kaudu .",kasvav,tööjõud,Yes
31,"Sellest lähtuvalt väidab suur osa eelfinantseeritava pensionikindlustuse süsteemi pooldajaid , et reform võimaldab suurendada tööhõivet ***** tööjõu pakkumise kaudu .",edenev,tööjõud,No
32,"Tegemist on naiivse arusaamaga , sest kusagil maailmas pole suudetud kulukate ja suuremahuliste ***** programmideta jõuda arenenud riikide hulka .",sotsiaalne,programm,Yes
33,"Tegemist on naiivse arusaamaga , sest kusagil maailmas pole suudetud kulukate ja suuremahuliste ***** programmideta jõuda arenenud riikide hulka .",seltsiv,programm,No
34,"PMKF oli varasematel aastatel Maapangale põllumajanduslike laenude väljastamiseks ***** krediiti andnud , Maapangas oli see raha aga “ halbade laenudena ” lihtsalt laiaks löödud .",pikaajaline,krediit,Yes
35,"PMKF oli varasematel aastatel Maapangale põllumajanduslike laenude väljastamiseks ***** krediiti andnud , Maapangas oli see raha aga “ halbade laenudena ” lihtsalt laiaks löödud .",pikk,krediit,No
36,See tä-his-tas ***** sõp-ru-se al-gust - nüüd kut-sub neiu Man-de-lat va-nai-saks .,suur,sõprus,Yes
37,See tä-his-tas ***** sõp-ru-se al-gust - nüüd kut-sub neiu Man-de-lat va-nai-saks .,sügav,sõprus,No
38,"Säärasel paberil ei peaks aga olema ***** kaalu , tühistamaks demokraatliku riigi kohtus lapsendamist isa kasuks , kel puudusid vanemlikud õigused .",õiguslik,kaal,Yes
39,"Säärasel paberil ei peaks aga olema ***** kaalu , tühistamaks demokraatliku riigi kohtus lapsendamist isa kasuks , kel puudusid vanemlikud õigused .",konstitutsiooniline,kaal,No
40,Hetkel veel ***** olukord ei anna Virgele mahti mõelda järgmisest lapsest .,uudne,olukord,Yes
41,Hetkel veel ***** olukord ei anna Virgele mahti mõelda järgmisest lapsest .,originaalne,olukord,No
42,"Kui kõiki ***** aineid on külluses , hakkab rakk paljunema .",vajalik,aine,Yes
43,"Kui kõiki ***** aineid on külluses , hakkab rakk paljunema .",hädavajalik,aine,Yes
44,"***** kuningad ja ülikud olid saanud ajaloolisteks isikuteks , aase ja haldjaid kummardati ilmselt juba VIII sajandil , ruunitekste võis lugeda ka tagantpoolt ettepoole .",muinasjutuline,kuningas,Yes
45,"***** kuningad ja ülikud olid saanud ajaloolisteks isikuteks , aase ja haldjaid kummardati ilmselt juba VIII sajandil , ruunitekste võis lugeda ka tagantpoolt ettepoole .",võrreldamatu,kuningas,No
46,Millisest kodust unistas tulevane ***** olümpiavõitja ?,kahekordne,olümpiavõitja,Yes
47,Millisest kodust unistas tulevane ***** olümpiavõitja ?,korduv,olümpiavõitja,Yes
48,Ja ***** vaevaga saadud beebid on veel eriti südamest kantud ja täisväärtuslikult kasvatatud .,suur,vaev,Yes
49,Ja ***** vaevaga saadud beebid on veel eriti südamest kantud ja täisväärtuslikult kasvatatud .,sügav,vaev,No
50,"“ Tean , et Eesti Esitajate Liit on saatnud ETV-le ***** kirja , ” selgitab Kotkas .",sellekohane,kiri,Yes
51,"“ Tean , et Eesti Esitajate Liit on saatnud ETV-le ***** kirja , ” selgitab Kotkas .",adekvaatne,kiri,No
52,***** koguse piima saavad nad Raimundi-suguste suurtootjate käest kätte .,vajalik,kogus,Yes
53,***** koguse piima saavad nad Raimundi-suguste suurtootjate käest kätte .,hädavajalik,kogus,Yes
54,"“ Tõsine probleem , ” sõnab professor Sepp , “ ***** lisakulud , mis ametniku ja kodaniku kauguse suurenemise tõttu tekivad , jäävad ilmselt kodaniku kaela .",konkreetne,lisakulu,Yes
55,"“ Tõsine probleem , ” sõnab professor Sepp , “ ***** lisakulud , mis ametniku ja kodaniku kauguse suurenemise tõttu tekivad , jäävad ilmselt kodaniku kaela .",minimalistlik,lisakulu,No
56,"Me ei paku hotellimugavusi , kuid võimalus imekauneid merevaateid nautida ja igal õhtul ***** sadamas ankrusse heita kaaluvad mugavused üles .",uus,sadam,Yes
57,"Me ei paku hotellimugavusi , kuid võimalus imekauneid merevaateid nautida ja igal õhtul ***** sadamas ankrusse heita kaaluvad mugavused üles .",originaalne,sadam,No
58,"“ Kobra ” seeria alapealkirjaga “ Kiirrong number 34 ” on ***** järg filmile “ Must veri ” , mis samuti Eestis üles võetud .",mõtteline,järg,Yes
59,"“ Kobra ” seeria alapealkirjaga “ Kiirrong number 34 ” on ***** järg filmile “ Must veri ” , mis samuti Eestis üles võetud .",abstraktne,järg,No
60,"***** komiteed on kogunud juba 35 000 allkirja inimestelt , kellele on keeldutud väljasõiduluba andmast .",rahvuslik,komitee,Yes
61,"***** komiteed on kogunud juba 35 000 allkirja inimestelt , kellele on keeldutud väljasõiduluba andmast .",etniline,komitee,Yes
62,Ta on väga ***** pankur .,võimekas,pankur,Yes
63,Ta on väga ***** pankur .,loov,pankur,Yes
64,Keharaku tuuma siirdamine munarakku pakub ***** võimalusi loomakasvatusele .,pöördeline,võimalus,Yes
65,Keharaku tuuma siirdamine munarakku pakub ***** võimalusi loomakasvatusele .,radikaalne,võimalus,Yes
66,"tekst : Peeter Ernits , Mai Vöörmann , Ilmar Palli Seltskonnaajakirjanduse tõusvad tiraazhid annavad tunnistust sellest , et lisaks ***** lugejaskonnale on Eestis piisaval hulgal ka neid , kelle eluolu laiadele massidele tarbimiseks anda .",kasvav,lugejaskond,Yes
67,"tekst : Peeter Ernits , Mai Vöörmann , Ilmar Palli Seltskonnaajakirjanduse tõusvad tiraazhid annavad tunnistust sellest , et lisaks ***** lugejaskonnale on Eestis piisaval hulgal ka neid , kelle eluolu laiadele massidele tarbimiseks anda .",edenev,lugejaskond,No
68,"Küll mitte ***** kogustes , nii et silmini täis , ent ka pealtnäha tühine tipsutamissõltuvus mattis ta endasse neljaks aastaks .",suur,kogus,Yes
69,"Küll mitte ***** kogustes , nii et silmini täis , ent ka pealtnäha tühine tipsutamissõltuvus mattis ta endasse neljaks aastaks .",kõrge,kogus,No
70,"Tema on üks ütlemata ***** tegelane , kes Siiri teeotsa traktoriga lumest puhta hoiab .",vajalik,tegelane,Yes
71,"Tema on üks ütlemata ***** tegelane , kes Siiri teeotsa traktoriga lumest puhta hoiab .",hädavajalik,tegelane,Yes
72,"Kui sündis Marina , oli Ruby emarolliga ammuilma harjunud , aga siis vaevas teda ***** depressioon .",sünnitusjärgne,depressioon,Yes
73,"Kui sündis Marina , oli Ruby emarolliga ammuilma harjunud , aga siis vaevas teda ***** depressioon .",järgnev,depressioon,No
74,"Domineerivaks parteiks on ajalooliselt konservatiivid , ***** opositsiooniks Tööpartei koos “ igavese kolmanda ” , Liberaaldemokraatliku Parteiga .",peamine,opositsioon,Yes
75,"Domineerivaks parteiks on ajalooliselt konservatiivid , ***** opositsiooniks Tööpartei koos “ igavese kolmanda ” , Liberaaldemokraatliku Parteiga .",fundamentaalne,opositsioon,No
76,"***** president ja valitsus ei saa rahvast aidata , kui rahvas end ise aidata ei taha .",uus,president,Yes
77,"***** president ja valitsus ei saa rahvast aidata , kui rahvas end ise aidata ei taha .",originaalne,president,No
78,"Selline olukord sõna otseses mõttes sundis otsima ***** arengusuundi , ” tõdeb ta .",uus,arengusuund,Yes
79,"Selline olukord sõna otseses mõttes sundis otsima ***** arengusuundi , ” tõdeb ta .",originaalne,arengusuund,No
80,"Ehkki pataljoni ülema vahetuse ***** põhjuseks ei toodud määrustikuväliste suhete sagedast esinemist Viru pataljonis , vaid rotatsiooni , arvab enamik asjaosalisi , et vägivallajuhtudelgi oli oma koht endise pataljoniülema Indrek Sireli lahkumisel .",otsene,põhjus,Yes
81,"Ehkki pataljoni ülema vahetuse ***** põhjuseks ei toodud määrustikuväliste suhete sagedast esinemist Viru pataljonis , vaid rotatsiooni , arvab enamik asjaosalisi , et vägivallajuhtudelgi oli oma koht endise pataljoniülema Indrek Sireli lahkumisel .",esmane,põhjus,No
82,"Kui Beatrice teine abikaasa Oleg Belokrõlov ( 34 ) kahe aasta eest Taškendi vanglast vabanes ning tema Tallinna korteri uksele koputas , oli Beatrice juba oma ***** kiindumusele Raul Andressonile ( 34 ) jah-sõna öelnud .",uus,kiindumus,Yes
83,"Kui Beatrice teine abikaasa Oleg Belokrõlov ( 34 ) kahe aasta eest Taškendi vanglast vabanes ning tema Tallinna korteri uksele koputas , oli Beatrice juba oma ***** kiindumusele Raul Andressonile ( 34 ) jah-sõna öelnud .",originaalne,kiindumus,Yes
84,"***** Kuldgloobuste jagamisel saatis Parkerit seadusliku mehe asemel hoopis näitleja John Corbett , kes mängib “ Seksis ja linnas ” Carrie armukest Aidanit .",hiljutine,jagamine,Yes
85,"***** Kuldgloobuste jagamisel saatis Parkerit seadusliku mehe asemel hoopis näitleja John Corbett , kes mängib “ Seksis ja linnas ” Carrie armukest Aidanit .",uus,jagamine,Yes
86,“ Väljudes üritavad Krall ja Aule oma “ ***** minad jälle kontrolli alla saada .,sisemine,mina,Yes
87,“ Väljudes üritavad Krall ja Aule oma “ ***** minad jälle kontrolli alla saada .,tubane,mina,No
88,"Tartu Ülikooli prorektor Riho Illak nimetab ***** puudujäägiks miljon krooni , kütte ja ühiselamute pealt lisandub esialgsete arvutuste kohaselt veel 2 - 3 miljonit .",otsene,puudujääk,Yes
89,"Tartu Ülikooli prorektor Riho Illak nimetab ***** puudujäägiks miljon krooni , kütte ja ühiselamute pealt lisandub esialgsete arvutuste kohaselt veel 2 - 3 miljonit .",esmane,puudujääk,No
90,"Liiga värskelt on meeles valitsuse küündimatus Oru suhteliselt väikese probleemi lahendamisel , et uskuda tema võimesse käia üle kümneid kordi suuremast ***** plahvatusest .",sotsiaalne,plahvatus,Yes
91,"Liiga värskelt on meeles valitsuse küündimatus Oru suhteliselt väikese probleemi lahendamisel , et uskuda tema võimesse käia üle kümneid kordi suuremast ***** plahvatusest .",seltsiv,plahvatus,No
92,Suure rahaga saab ju väikese tõusu pealt ka lahedalt teenida .,väike,tõus,Yes
93,Suure rahaga saab ju väikese tõusu pealt ka lahedalt teenida .,madal,tõus,No
94,Muu hulgas mainib The Deal.com ***** näitena ka Lõhmuse rajatud oksjoniportaali osta.ee .,positiivne,näide,Yes
95,Muu hulgas mainib The Deal.com ***** näitena ka Lõhmuse rajatud oksjoniportaali osta.ee .,hea,näide,Yes
96,"Samas olen tähele pannud , et kui vaatame koos neid erootilisi showsid , siis see turgutab ka meie suhet ***** suunas .",positiivne,suund,Yes
97,"Samas olen tähele pannud , et kui vaatame koos neid erootilisi showsid , siis see turgutab ka meie suhet ***** suunas .",hea,suund,Yes
98,Lisaks ***** iseloom .,impulsiivne,iseloom,Yes
99,Lisaks ***** iseloom .,peru,iseloom,No
100,"Kui meie poliitikutelt ja kõrgetelt ametnikelt küsida selgitust ühe või teise ***** tehingu kohta , vastatakse sageli just niimoodi : ei kommenteeri ; ma ei tea asjast midagi ; mul ei ole aega nende jamadega tegelda .",hämar,tehing,Yes
101,"Kui meie poliitikutelt ja kõrgetelt ametnikelt küsida selgitust ühe või teise ***** tehingu kohta , vastatakse sageli just niimoodi : ei kommenteeri ; ma ei tea asjast midagi ; mul ei ole aega nende jamadega tegelda .",läbipaistmatu,tehing,Yes
102,"Kui vastan , võib see põhjustada ***** kohtuprotsessi ; kui ei vasta , siis sajab kaela Riigipäeva viha , ” kurtis sõja kaotanud , kuid mitte mingil juhul löödud mees .",järgmine,kohtuprotsess,Yes
103,"Kui vastan , võib see põhjustada ***** kohtuprotsessi ; kui ei vasta , siis sajab kaela Riigipäeva viha , ” kurtis sõja kaotanud , kuid mitte mingil juhul löödud mees .",järgnev,kohtuprotsess,No
104,Uus korporatsioon annaks rahvusvahelistele laenudele ***** tasu eest garantii .,mõõdukas,tasu,Yes
105,Uus korporatsioon annaks rahvusvahelistele laenudele ***** tasu eest garantii .,keskpärane,tasu,Yes
106,***** definitsiooniks on sagedamini kasutatud “ alla riikliku vaesuspiiri ” .,objektiivne,definitsioon,Yes
107,***** definitsiooniks on sagedamini kasutatud “ alla riikliku vaesuspiiri ” .,aineline,definitsioon,No
108,Oluliseks lüngaks pean Eesti Humanitaarinstituudi baasil ja Lembit Petersoni juhatusel ***** THEATRUM-i puudumist .,toimiv,puudumine,Yes
109,Oluliseks lüngaks pean Eesti Humanitaarinstituudi baasil ja Lembit Petersoni juhatusel ***** THEATRUM-i puudumist .,interaktiivne,puudumine,Yes
110,"Nagu tollal kombeks , uuristas ***** ettevõtet “ kapitalistlik kapsauss ” .",riiklik,ettevõte,Yes
111,"Nagu tollal kombeks , uuristas ***** ettevõtet “ kapitalistlik kapsauss ” .",avalik,ettevõte,Yes
112,Piisab ***** jõest ja maaparandusharidusest .,väike,jõgi,Yes
113,Piisab ***** jõest ja maaparandusharidusest .,keskpärane,jõgi,No
114,"Esimene on Rootsi meresõiduamet , merenduse ***** südametunnistuse kandja , ning teine klassiühing Bureau Veritas , laeva tehniline ettekirjutaja ja järelevalvaja .",riiklik,südametunnistus,Yes
115,"Esimene on Rootsi meresõiduamet , merenduse ***** südametunnistuse kandja , ning teine klassiühing Bureau Veritas , laeva tehniline ettekirjutaja ja järelevalvaja .",poliitiline,südametunnistus,Yes
116,"Akadeemik loodab , et kaalukas saavutus ning sellega kaasnenud ***** huvi muudab meil valitsevat suhtumist teadlastesse ja teadusse .",enneolematu,huvi,Yes
117,"Akadeemik loodab , et kaalukas saavutus ning sellega kaasnenud ***** huvi muudab meil valitsevat suhtumist teadlastesse ja teadusse .",ebatavaline,huvi,No
118,"Kui Selter välisministriks siirdus , sai rahva juttude kohaselt tema ***** sissetulekuallikaks juutide elamislubadega äritsemine .",uus,sissetulekuallikas,Yes
119,"Kui Selter välisministriks siirdus , sai rahva juttude kohaselt tema ***** sissetulekuallikaks juutide elamislubadega äritsemine .",originaalne,sissetulekuallikas,No
120,"Selge see , et ***** aparatuur tagab tõhusama diagnoosimise ja ravi .",kaasaegne,aparatuur,Yes
121,"Selge see , et ***** aparatuur tagab tõhusama diagnoosimise ja ravi .",popp,aparatuur,Yes
122,"Rein Luik , kes Markko tegemisi jälginud aastast 1993 , mil toona 18aastane Tartu poiss esimest korda Eesti meistrivõistlustel esines , ütleb , et Markko ***** tulevik oli esimestest sõitudest näha .",suur,tulevik,Yes
123,"Rein Luik , kes Markko tegemisi jälginud aastast 1993 , mil toona 18aastane Tartu poiss esimest korda Eesti meistrivõistlustel esines , ütleb , et Markko ***** tulevik oli esimestest sõitudest näha .",sügav,tulevik,No
124,Istuti maha ning pandi välja kolm plakatit nõudmisega saada väljasõiduluba ***** kodumaale .,ajalooline,kodumaa,Yes
125,Istuti maha ning pandi välja kolm plakatit nõudmisega saada väljasõiduluba ***** kodumaale .,keskaegne,kodumaa,No
126,"Geofüüsikust jurist ning poliitik Hjalmar Mäe hoiatas 1941. aasta sügisel Saksa võime ***** väga külma ja pika talve eest , nood aga ignoreerisid täielikult tema ennustust , öeldes , et “ ärgu ta segagu end Saksa riigi asjadesse , kõik vajalik on ette valmistatud ilma eestlaste õpetusteta .",lähenev,talv,Yes
127,"Geofüüsikust jurist ning poliitik Hjalmar Mäe hoiatas 1941. aasta sügisel Saksa võime ***** väga külma ja pika talve eest , nood aga ignoreerisid täielikult tema ennustust , öeldes , et “ ärgu ta segagu end Saksa riigi asjadesse , kõik vajalik on ette valmistatud ilma eestlaste õpetusteta .",homne,talv,No
128,"” Armsad , vahetud , toredad on vaid vähesed korduvad kiidusõnad Inglise ***** Balleti külalissolistide Toomas Eduri ( 32 ) ja Age Oksa ( 30 ) aadressil .",rahvuslik,ballett,Yes
129,"” Armsad , vahetud , toredad on vaid vähesed korduvad kiidusõnad Inglise ***** Balleti külalissolistide Toomas Eduri ( 32 ) ja Age Oksa ( 30 ) aadressil .",etniline,ballett,No
130,"Vahetult enne ***** parlamendivalimisi Lätis pöördus Luzhkov Jeltsini , Venemaa valitsuse , föderaalkogu ja föderatsiooni liikmete poole üleskutsega “ avali-kult ja kindlalt ” toetada Läti vasakjõudude valimisblokki , mis oli moodustatud Läti kommunistliku partei endise liidri Alfreds Rubiksi initsiatiivil .",hiljutine,parlamendivalimine,Yes
131,"Vahetult enne ***** parlamendivalimisi Lätis pöördus Luzhkov Jeltsini , Venemaa valitsuse , föderaalkogu ja föderatsiooni liikmete poole üleskutsega “ avali-kult ja kindlalt ” toetada Läti vasakjõudude valimisblokki , mis oli moodustatud Läti kommunistliku partei endise liidri Alfreds Rubiksi initsiatiivil .",uus,parlamendivalimine,No
132,"Me oleme kõik väga sarnased , meil on ühesugune saatus , meil on väga ***** olukord .",ühesugune,olukord,Yes
133,"Me oleme kõik väga sarnased , meil on ühesugune saatus , meil on väga ***** olukord .",sarnane,olukord,Yes
134,Tulek Kurkse lahest pidi olema meie ***** harjutus .,viimane,harjutus,Yes
135,Tulek Kurkse lahest pidi olema meie ***** harjutus .,püsiv,harjutus,No
136,"“ Ei kahetse vähimatki ” Astusin ***** inimese ellu ja ta neelas alla selle , et ma ei vastanud samaga , polnud temasse taevani armunud .",uus,inimene,Yes
137,"“ Ei kahetse vähimatki ” Astusin ***** inimese ellu ja ta neelas alla selle , et ma ei vastanud samaga , polnud temasse taevani armunud .",originaalne,inimene,No
138,"“ Unistad sellest , mida all sööma hakkad , uurid kaaslaste seksuaalseid eelistusi , et kas meeldivad ***** või väikeste rindadega naised .",suur,naine,Yes
139,"“ Unistad sellest , mida all sööma hakkad , uurid kaaslaste seksuaalseid eelistusi , et kas meeldivad ***** või väikeste rindadega naised .",sügav,naine,No
140,"Avalikkus sai materjalide olemasolust teada , kui siseminister Robert Lepikson süüdistas NKVD toimikutele tuginedes oma kunagise äripartneri Heldur Tõnissoni isa Jaan Tõnissoni ***** seotuses N. Liidu välisluurega .",ammune,seotus,Yes
141,"Avalikkus sai materjalide olemasolust teada , kui siseminister Robert Lepikson süüdistas NKVD toimikutele tuginedes oma kunagise äripartneri Heldur Tõnissoni isa Jaan Tõnissoni ***** seotuses N. Liidu välisluurega .",omaaegne,seotus,Yes
142,"Inglise filoloog Epp ja “ tipikas ” Tiit tahtsid teha midagi oma , aga et see just kunstiga seotud äri on , pole ka puhas juhus , sest Epp mäletab ikka ennast Liivalaia tänava ainsas kunstipoes midagi ostmas , just niipalju kui ***** palk võimaldas .",väike,palk,Yes
143,"Inglise filoloog Epp ja “ tipikas ” Tiit tahtsid teha midagi oma , aga et see just kunstiga seotud äri on , pole ka puhas juhus , sest Epp mäletab ikka ennast Liivalaia tänava ainsas kunstipoes midagi ostmas , just niipalju kui ***** palk võimaldas .",madal,palk,Yes
144,"Rein Tuus tunnistab , et teda ikka häirib ka , et naise ***** palk ületab tema teenistuse Tallinna Tuletõrje- ja Päästeameti tehnikuna 4-5kordselt .",uus,palk,Yes
145,"Rein Tuus tunnistab , et teda ikka häirib ka , et naise ***** palk ületab tema teenistuse Tallinna Tuletõrje- ja Päästeameti tehnikuna 4-5kordselt .",originaalne,palk,No
146,"Samas tundub , et praegu hakkab kogu ***** ideoloogia elluviimise eest hoolitsema perekond , indiviid ise , lähtudes seejuures tarbijalikkusest .",vastav,ideoloogia,Yes
147,"Samas tundub , et praegu hakkab kogu ***** ideoloogia elluviimise eest hoolitsema perekond , indiviid ise , lähtudes seejuures tarbijalikkusest .",adekvaatne,ideoloogia,No
148,Selliseid üritusi on korraldatud igal aastal ning neist on osa võtnud ***** riigitegelasi .,kõrge,riigitegelane,Yes
149,Selliseid üritusi on korraldatud igal aastal ning neist on osa võtnud ***** riigitegelasi .,kõrguv,riigitegelane,No
150,"Sleaze on Briti ajakirjanduses kujunenud omaette ***** teemaks , mida lahatakse tüüpilise briti kibeda ja mõnevõrra eneseiroonilise vaimukusega .",ühiskondlik,teema,Yes
151,"Sleaze on Briti ajakirjanduses kujunenud omaette ***** teemaks , mida lahatakse tüüpilise briti kibeda ja mõnevõrra eneseiroonilise vaimukusega .",avalik,teema,Yes
152,“ Läbirääkimised käivad ***** kalurikolhoosi Majak sadama ehk Meeruse sadama üle .,endine,kalurikolhoos,Yes
153,“ Läbirääkimised käivad ***** kalurikolhoosi Majak sadama ehk Meeruse sadama üle .,omaaegne,kalurikolhoos,Yes
154,Kodu- ja ***** .,perekeskne,kodu,No
155,Kodu- ja ***** .,kodune,kodu,No
156,"Jeanne Moreau parempoolsete hääletoruna muretseb , et homopaaride legaliseerimisega läheb nende armastuse saladus kaotsi ja suhted taanduvad ***** huvidele .",rahaline,huvi,Yes
157,"Jeanne Moreau parempoolsete hääletoruna muretseb , et homopaaride legaliseerimisega läheb nende armastuse saladus kaotsi ja suhted taanduvad ***** huvidele .",likviidne,huvi,No
158,"Ehk teiste sõnadega : lepingu allkirjastajateks olid ***** juhid ja autoriteedid , relvarahud saavutati nende tegevuse tulemusena .",poliitiline,juht,Yes
159,"Ehk teiste sõnadega : lepingu allkirjastajateks olid ***** juhid ja autoriteedid , relvarahud saavutati nende tegevuse tulemusena .",riiklik,juht,Yes
160,"Selle aasta sügisel vihjati , et seoses Ühendatud Opositsiooni sünniga võiks tekkida ka mingisugune alus ***** parempoolsele parteile .",uus,partei,Yes
161,"Selle aasta sügisel vihjati , et seoses Ühendatud Opositsiooni sünniga võiks tekkida ka mingisugune alus ***** parempoolsele parteile .",originaalne,partei,No
162,"” ***** juhtumit meenutades kergitab isand Loeb oma punasenokalist mütsi , demonstreerides mullegi , et selle all ei ole tulnukatele iseloomulikke antenne .",hiljutine,juhtum,Yes
163,"” ***** juhtumit meenutades kergitab isand Loeb oma punasenokalist mütsi , demonstreerides mullegi , et selle all ei ole tulnukatele iseloomulikke antenne .",uus,juhtum,Yes
164,"Analüüsides arengusuundi , praegusi hindu ning ***** korterelamute ehitusmaksumusi , võib väita , et korterite hinnad on paljudes piirkondades saavutamas lage .",uus,korterelamu,Yes
165,"Analüüsides arengusuundi , praegusi hindu ning ***** korterelamute ehitusmaksumusi , võib väita , et korterite hinnad on paljudes piirkondades saavutamas lage .",originaalne,korterelamu,Yes
166,"Savisaare-hirmus valis rahvas riigikogu lavale “ ***** poliitika ” , nüüd jääb huviga oodata , mis loom see on .",uus,poliitika,Yes
167,"Savisaare-hirmus valis rahvas riigikogu lavale “ ***** poliitika ” , nüüd jääb huviga oodata , mis loom see on .",originaalne,poliitika,No
168,Seened on pakkunud lisa inimese toidulauale juba ***** aegadest peale .,iidne,aeg,Yes
169,Seened on pakkunud lisa inimese toidulauale juba ***** aegadest peale .,vana,aeg,Yes
170,"Igale eestlasele peaks selge olema , et mida rohkem toetame ***** tendentse Venemaal , ka tasakaalustatud ja heatahtliku käitumisega , seda väiksemad on impeeriumimeelsete shansid oma programmi läbi suruda .",demokraatlik,tendents,Yes
171,"Igale eestlasele peaks selge olema , et mida rohkem toetame ***** tendentse Venemaal , ka tasakaalustatud ja heatahtliku käitumisega , seda väiksemad on impeeriumimeelsete shansid oma programmi läbi suruda .",kodanlik,tendents,Yes
172,"Poliitika “ suurfirmad ” Euroopa Liit ja USA jagavad ära suure osa tuleviku poliitikaturust , oma suurusega saavad nad globaalset majandust mõjutada neile ***** suunas .",vajalik,suund,Yes
