,adjective,noun,
90,tulev,sissetulek,No
91,järgmine,sissetulek,Yes
92,korraldav,ametnik,Yes
93,domineeriv,ametnik,Yes
94,ideaalne,suurus,Yes
95,abstraktne,suurus,Yes
96,suur,ookean,Yes
97,sügav,ookean,Yes
98,enneolematu,ulatus,Yes
99,ebatavaline,ulatus,Yes
100,suur,liitumine,Yes
101,sügav,liitumine,No
102,keeruline,teema,Yes
103,keerukas,teema,Yes
104,suur,torm,Yes
105,sügav,torm,No
106,uus,legend,Yes
107,originaalne,legend,Yes
108,konkreetne,piir,Yes
109,väljakujunenud,piir,Yes
110,pidav,auto,No
111,kompaktne,auto,Yes
112,osav,diplomaat,Yes
113,meisterlik,diplomaat,Yes
114,väike,maa,Yes
115,madal,maa,Yes
116,klassikaline,laul,Yes
117,standardne,laul,No
118,kirjeldamatu,kogemus,Yes
119,ebatavaline,kogemus,Yes
120,hele,silm,Yes
121,valge,silm,Yes
122,endine,valitseja,Yes
123,omaaegne,valitseja,Yes
124,ebamugav,muutmine,Yes
125,tume,muutmine,No
126,suur,publik,Yes
127,lai,publik,No
128,keskne,tegur,Yes
129,keskmine,tegur,No
130,suur,teadmine,Yes
131,sügav,teadmine,Yes
132,sõbralik,õhkkond,Yes
133,isalik,õhkkond,No
134,keeruline,saatus,Yes
135,mõtlemapanev,saatus,No
136,riiklik,nafta,Yes
137,riigisisene,nafta,No
138,rahvuslik,keskus,Yes
139,etniline,keskus,Yes
140,poolik,töö,Yes
141,osaline,töö,Yes
142,modernne,villa,Yes
143,moekas,villa,Yes
144,esmane,hüve,Yes
145,algupärane,hüve,No
146,vajalik,õpik,Yes
147,hädavajalik,õpik,Yes
148,poliitiline,opositsioon,Yes
149,riiklik,opositsioon,Yes
150,suur,kott,Yes
151,sügav,kott,Yes
152,väike,kogemus,Yes
153,noor,kogemus,No
154,aus,raamatupidaja,Yes
155,otsekohene,raamatupidaja,Yes
156,võrdne,tingimus,Yes
157,aus,tingimus,Yes
158,silmapaistev,osa,Yes
159,tuntav,osa,Yes
160,uus,maitse,Yes
161,originaalne,maitse,Yes
162,järgmine,visiit,Yes
163,järgnev,visiit,Yes
164,kunstiline,kujund,Yes
165,graafiline,kujund,Yes
166,valus,küsimus,Yes
167,karm,küsimus,Yes
168,keskne,molekul,Yes
169,keskmine,molekul,Yes
170,lõplik,kindlus,Yes
171,viimane,kindlus,Yes
172,vastav,elukutse,Yes
173,asjatundlik,elukutse,No
174,silmapaistev,teos,Yes
175,kapitaalne,teos,No
176,kahjulik,kõrvalmõju,Yes
177,ebaotstarbekas,kõrvalmõju,No
178,uus,fenomen,Yes
179,originaalne,fenomen,Yes
180,uus,vajadus,Yes
181,originaalne,vajadus,Yes
182,ebatäpne,käsi,Yes
183,vaba,käsi,Yes
184,tüüpiline,viga,Yes
185,iseloomulik,viga,Yes
186,ürgne,tung,Yes
187,algne,tung,No
188,poliitiline,seisukoht,Yes
189,riiklik,seisukoht,No
190,peamine,baas,Yes
191,fundamentaalne,baas,Yes
192,otsene,edu,No
193,esmane,edu,Yes
194,hiljutine,tegevus,Yes
195,uus,tegevus,Yes
196,viimane,kuluartikkel,Yes
197,püsiv,kuluartikkel,Yes
198,uus,roll,Yes
199,originaalne,roll,Yes
