,sentence,adjective,noun,
15,Loome seal ***** atmosfääri .,kodune,atmosfäär,Yes
16,"Sellises vanuses nagu mina otsid juba kindlamaid suhteid ja meeldib , et on kindel turvaline seltskond , kellega on ***** koos olla .",lahe,seltskond,Yes
17,"Sellises vanuses nagu mina otsid juba kindlamaid suhteid ja meeldib , et on kindel turvaline seltskond , kellega on ***** koos olla .",mitteametlik,seltskond,No
18,Poliitbürooni aga jõudis info läbi ***** ametnike ahela .,pikk,ametnik,Yes
19,Poliitbürooni aga jõudis info läbi ***** ametnike ahela .,kauge,ametnik,No
20,"“ Seal ei ole loota ega oodata , vaid iga päev tuleb sealt üha ***** ja uusi imesid , ” kinnitas maarahva oma mees Toompeal Jaanus Männik .",uus,ime,Yes
21,"“ Seal ei ole loota ega oodata , vaid iga päev tuleb sealt üha ***** ja uusi imesid , ” kinnitas maarahva oma mees Toompeal Jaanus Männik .",originaalne,ime,No
22,"Seetõttu pole siin ka midagi avastada ega leiutada , Soomes ***** süsteemi tuleb meie oludele ja majanduslikele võimalustele vastavaks kohendada .",toimiv,süsteem,Yes
23,"Seetõttu pole siin ka midagi avastada ega leiutada , Soomes ***** süsteemi tuleb meie oludele ja majanduslikele võimalustele vastavaks kohendada .",interaktiivne,süsteem,No
24,"Teaduspargi ***** idee on anda alustava arendusettevõtte kasutusse suurfirmale kättesaadav infrastruktuur : telekommmunikatsioonid , konverentsisaalid , töökojad , andmebaasid ja kiirendada seeläbi väljatöötlusi patenteerimiseks ja tootmiseks .",peamine,idee,Yes
25,"Teaduspargi ***** idee on anda alustava arendusettevõtte kasutusse suurfirmale kättesaadav infrastruktuur : telekommmunikatsioonid , konverentsisaalid , töökojad , andmebaasid ja kiirendada seeläbi väljatöötlusi patenteerimiseks ja tootmiseks .",eriline,idee,No
26,"Infoühiskonnas säilib ja süveneb veelgi industriaalühiskonnale omane spetsialiseerumine , kus keegi ei suuda enam üksinda luua ***** toodet .",terviklik,toode,Yes
27,"Infoühiskonnas säilib ja süveneb veelgi industriaalühiskonnale omane spetsialiseerumine , kus keegi ei suuda enam üksinda luua ***** toodet .",terve,toode,Yes
28,"V . R . “ Nad leidsid mu pildi järgi , ” tunnistab Ita Ever ( 70 ) , kes lööb kaasa kuulsa rezhissööri Vladimir Bassovi ***** mängufilmis “ Must veri ” .",uus,mängufilm,Yes
29,"V . R . “ Nad leidsid mu pildi järgi , ” tunnistab Ita Ever ( 70 ) , kes lööb kaasa kuulsa rezhissööri Vladimir Bassovi ***** mängufilmis “ Must veri ” .",originaalne,mängufilm,No
30,"Lennupilet maksis ligi kolmkümmend tuhat krooni ja kahekuune äraolek maksis kah kõvasti , nii ***** kulude kui ka tegemata tööde mõttes .",otsene,kulu,Yes
31,"Lennupilet maksis ligi kolmkümmend tuhat krooni ja kahekuune äraolek maksis kah kõvasti , nii ***** kulude kui ka tegemata tööde mõttes .",esmane,kulu,No
32,"Just tänu ***** sõprusele oma meeskonnaliikmetega teab Alo , et seltskondlik vaikimine õiges seltskonnas annab teinekord palju rohkem kui rääkimine .",ammune,sõprus,yes
33,"Just tänu ***** sõprusele oma meeskonnaliikmetega teab Alo , et seltskondlik vaikimine õiges seltskonnas annab teinekord palju rohkem kui rääkimine .",vana,sõprus,yes
34,Pärast neljateist aastat tunnen Elizabethist oma elus ***** puudust .,suur,puudus,yes
35,Pärast neljateist aastat tunnen Elizabethist oma elus ***** puudust .,sügav,puudus,yes
36,"Ju oli Igori ***** mõtetel sedavõrd jõudu , et kui ta möödunud aasta jaanuaris Ameerikast töölt naasis ja Eestisse elama asus , sai tema pikalt veninud suhe noorukese Maretiga hoo sisse .",lennukas,mõte,yes
37,"Ju oli Igori ***** mõtetel sedavõrd jõudu , et kui ta möödunud aasta jaanuaris Ameerikast töölt naasis ja Eestisse elama asus , sai tema pikalt veninud suhe noorukese Maretiga hoo sisse .",kiire,mõte,yes
38,Parlamendis on vaidlus seni taandunud ***** pinnale - kas Eesti vajab venelasi või mitte .,ideoloogiline,pind,yes
39,Parlamendis on vaidlus seni taandunud ***** pinnale - kas Eesti vajab venelasi või mitte .,filosoofiline,pind,yes
40,"Alles viimasel ajal on Eesti põlisrahva ja poliitilise eliidi seas aru saadud , et siit lahkusid või kavatsevad lahkuda eeskätt ***** , noored , haritud ning hakkajad muulased .",võimekas,muulane,yes
41,"Alles viimasel ajal on Eesti põlisrahva ja poliitilise eliidi seas aru saadud , et siit lahkusid või kavatsevad lahkuda eeskätt ***** , noored , haritud ning hakkajad muulased .",loov,muulane,yes
42,"See , et gruppidest on teisel kohal meediaprominendid , peab Lauristin meie ajakirjanduse ***** hädaks .",ammune,häda,yes
43,"See , et gruppidest on teisel kohal meediaprominendid , peab Lauristin meie ajakirjanduse ***** hädaks .",vana,häda,yes
44,Õige tehaseomanik oli Tallinna piimakombinaadi viimane ***** direktor Tiit Kõuhkna .,riiklik,direktor,yes
45,Õige tehaseomanik oli Tallinna piimakombinaadi viimane ***** direktor Tiit Kõuhkna .,riigisisene,direktor,no
46,Suurem osa tülitajatest on siiski alla ***** intelligentsiga tegelased . ”,keskmine,intelligents,yes
47,Suurem osa tülitajatest on siiski alla ***** intelligentsiga tegelased . ”,leplik,intelligents,no
48,Sellest tulenes ka ***** kasvaja ravivõimalus - takistada tema rakkudel seda ainet toota .,uus,kasvaja,yes
49,Sellest tulenes ka ***** kasvaja ravivõimalus - takistada tema rakkudel seda ainet toota .,originaalne,kasvaja,yes
50,"Pealegi , kiiresti muutunud maailmas on ***** oskused ammu roostes .",kunagine,oskus,yes
51,"Pealegi , kiiresti muutunud maailmas on ***** oskused ammu roostes .",omaaegne,oskus,yes
52,"Nüüd teame , et Eesti-Soome läbirääkimiste laua taga oli veel teisigi ***** osapooli .",nähtamatu,osapool,yes
53,"Nüüd teame , et Eesti-Soome läbirääkimiste laua taga oli veel teisigi ***** osapooli .",tihe,osapool,no
54,"Lahesõjas korraldas liitlaste lennuvägi 40 spetsiaalset rünnakut , et tabada Iraagi diktaatori ***** asukohta .",arvatav,asukoht,yes
55,"Lahesõjas korraldas liitlaste lennuvägi 40 spetsiaalset rünnakut , et tabada Iraagi diktaatori ***** asukohta .",ootuspärane,asukoht,yes
56,"Kui seesama Soome suudab provokatsioone taluda päris stoiliselt , siis postsotsialistlikke riike iseloomustab vahel lausa haiglaslik tundlikkus väljastpoolt ***** hinnangute ja arvamus-avalduste suhtes .",tulev,hinnang,yes
57,"Kui seesama Soome suudab provokatsioone taluda päris stoiliselt , siis postsotsialistlikke riike iseloomustab vahel lausa haiglaslik tundlikkus väljastpoolt ***** hinnangute ja arvamus-avalduste suhtes .",järgmine,hinnang,no
58,"See puudutab eelkõige kommuniste , kes kohe valjuhäälselt kuulutasid , et tasuta kingituste aeg on läbi , aga ka mõlema suure vahel juba ammu laveerinud kristlasi ( tegelikult vasaktsentristlik ***** demokraatide ja Rahvapartei ühendus ) ning valitsuskriisi järel ODS-ist taas paljusid shokeerides lahkulöönuid , vastset Vabaduse Liitu US .",kristlik,demokraat,yes
59,"See puudutab eelkõige kommuniste , kes kohe valjuhäälselt kuulutasid , et tasuta kingituste aeg on läbi , aga ka mõlema suure vahel juba ammu laveerinud kristlasi ( tegelikult vasaktsentristlik ***** demokraatide ja Rahvapartei ühendus ) ning valitsuskriisi järel ODS-ist taas paljusid shokeerides lahkulöönuid , vastset Vabaduse Liitu US .",liberaalne,demokraat,no
60,Mul jäi aega sõna ***** mõttes vaid magamiseks .,otsene,mõte,yes
61,Mul jäi aega sõna ***** mõttes vaid magamiseks .,esmane,mõte,no
62,Mitme aasta pikkuse ***** tööga .,pingeline,töö,yes
63,Mitme aasta pikkuse ***** tööga .,ärev,töö,yes
64,"“ ***** armusuhted ” Grišal võisid ju olla oma sümpaatiad , aga mina võtteplatsil sulle külgelöömist küll ei märganud , ” kostab Gabriel .",keeruline,armusuhe,yes
65,"“ ***** armusuhted ” Grišal võisid ju olla oma sümpaatiad , aga mina võtteplatsil sulle külgelöömist küll ei märganud , ” kostab Gabriel .",mõtlemapanev,armusuhe,yes
66,Ülevaateta Eesti elanikest polnud võimalik ***** kontroll tänavatel ega tollipunktides .,operatiivne,kontroll,yes
67,Ülevaateta Eesti elanikest polnud võimalik ***** kontroll tänavatel ega tollipunktides .,ettevõtlik,kontroll,no
68,"Nad tahavad luua ***** korda , üles ehitada majandust ja piirata korruptsiooni .",demokraatlik,kord,yes
69,"Nad tahavad luua ***** korda , üles ehitada majandust ja piirata korruptsiooni .",kodanlik,kord,yes
70,"” Samas suunas viitab teede- ja sideminister Raivo Vare , kes Harju maavalitsusele saadetud kirjas tõdeb , et elektrirongide liikluse küsimus on valdavalt Harjumaa ja Tallinna ***** probleem .",regionaalne,probleem,yes
71,"” Samas suunas viitab teede- ja sideminister Raivo Vare , kes Harju maavalitsusele saadetud kirjas tõdeb , et elektrirongide liikluse küsimus on valdavalt Harjumaa ja Tallinna ***** probleem .",territoriaalne,probleem,no
72,Lisaks võivad võimud naturaliseerunud kodanikult ( kuid mitte sünnijärgselt ! ) eriti ränkade ***** kuritegude eest kodakondsuse ära võtta .,riiklik,kuritegu,yes
73,Lisaks võivad võimud naturaliseerunud kodanikult ( kuid mitte sünnijärgselt ! ) eriti ränkade ***** kuritegude eest kodakondsuse ära võtta .,poliitiline,kuritegu,yes
74,"Tema jaoks olevat rahvuskoondises mängimine ülim , ehkki Inglismaal kõik ju sootuks grandioossem , kvaliteetsem , emotsionaalselt ***** vindini üleskruvitud .",viimne,vint,no
75,"Tema jaoks olevat rahvuskoondises mängimine ülim , ehkki Inglismaal kõik ju sootuks grandioossem , kvaliteetsem , emotsionaalselt ***** vindini üleskruvitud .",viimane,vint,yes
76,"“ Tõusule ei pea järgnema ***** langus , vaid kasvutempo aeglustumine .",absoluutne,langus,yes
77,"“ Tõusule ei pea järgnema ***** langus , vaid kasvutempo aeglustumine .",lõputu,langus,yes
78,"Floridas saab 7000 soovijast igal aastal 500 loa minna alligaatorijahile , ning kõigil neil on õigus küttida kuni viis kiskjat tingimusel , et need oleks vähemalt 1,2 meetrit ***** .",pikk,tingimus,no
79,"Floridas saab 7000 soovijast igal aastal 500 loa minna alligaatorijahile , ning kõigil neil on õigus küttida kuni viis kiskjat tingimusel , et need oleks vähemalt 1,2 meetrit ***** .",kauge,tingimus,no
80,"Tulemuseks on kõige eriskummalisemad kunstiteosed , ***** seisukohast vaadatuna kindlasti uudsed .",ühiskondlik,seisukoht,yes
81,"Tulemuseks on kõige eriskummalisemad kunstiteosed , ***** seisukohast vaadatuna kindlasti uudsed .",avalik,seisukoht,no
82,Luhamaa algkoolis pakub koolitädi õppeaasta ***** koolipäeva puhul kartulisalatit .,viimane,koolipäev,yes
83,Luhamaa algkoolis pakub koolitädi õppeaasta ***** koolipäeva puhul kartulisalatit .,püsiv,koolipäev,no
84,"Kõrvalmärkusena neile , kes Eesti tulevikku näevad transiidiriigina - ka ***** kaubandus ning transport on kõige otsesemalt seotud kõrgtehnoloogia rakendamisega .",kaasaegne,kaubandus,yes
85,"Kõrvalmärkusena neile , kes Eesti tulevikku näevad transiidiriigina - ka ***** kaubandus ning transport on kõige otsesemalt seotud kõrgtehnoloogia rakendamisega .",popp,kaubandus,no
86,“ Aga ***** firmasid üleminekuajal peaaegu polnudki .,aus,firma,yes
87,“ Aga ***** firmasid üleminekuajal peaaegu polnudki .,otsekohene,firma,yes
88,***** hind on suures osas ajastuse ja tingimuste küsimus .,õiglane,hind,yes
89,***** hind on suures osas ajastuse ja tingimuste küsimus .,aus,hind,yes
90,Kui palju mõjutas pakkumist vastu võtma sealt ***** sissetulek ?,tulev,sissetulek,yes
91,Kui palju mõjutas pakkumist vastu võtma sealt ***** sissetulek ?,järgmine,sissetulek,no
92,Toompeal riigikantselei majandamist ***** ametnikud konstateerivad vaid väärtuste kadumist .,korraldav,ametnik,yes
93,Toompeal riigikantselei majandamist ***** ametnikud konstateerivad vaid väärtuste kadumist .,domineeriv,ametnik,no
94,"“ Tegelikkuses ei eksisteeri administratiivse üksuse ***** suurust , see sõltub alati täidetavatest ülesannetest ja nende täitmise keskkonnast , traditsioonidest , seadustest , personalist , ” väidab TÜ avaliku halduse professor Wolfgang Drescher .",ideaalne,suurus,yes
95,"“ Tegelikkuses ei eksisteeri administratiivse üksuse ***** suurust , see sõltub alati täidetavatest ülesannetest ja nende täitmise keskkonnast , traditsioonidest , seadustest , personalist , ” väidab TÜ avaliku halduse professor Wolfgang Drescher .",abstraktne,suurus,no
96,"Parimad vaatluskohad on ***** ookeanide läheduses - juba mainitud Hawaii saartel , Tshiilis Vaikse ookeani rannikul , Kanaari saartel Atlandi ookeanis .",suur,ookean,yes
97,"Parimad vaatluskohad on ***** ookeanide läheduses - juba mainitud Hawaii saartel , Tshiilis Vaikse ookeani rannikul , Kanaari saartel Atlandi ookeanis .",sügav,ookean,yes
98,"Kuid päev-päevalt oli üha enam neid , keda rabas rahva leina religioosne sügavus ja ***** ulatus .",enneolematu,ulatus,yes
99,"Kuid päev-päevalt oli üha enam neid , keda rabas rahva leina religioosne sügavus ja ***** ulatus .",ebatavaline,ulatus,yes
100,Kõik ***** liitumised on kaasa toonud suure koondamise .,suur,liitumine,yes
101,Kõik ***** liitumised on kaasa toonud suure koondamise .,sügav,liitumine,no
102,"Kõige põhjalikumalt on aga sel ***** teemal sõna võtnud Soome üks autoriteetsemaid veteranpoliitikuid , Max Jakobson intervjuus soomerootsi majandusajakirjale “ Forum för ekonomi och teknik ” käesoleva aasta aprillinumbris .",keeruline,teema,yes
103,"Kõige põhjalikumalt on aga sel ***** teemal sõna võtnud Soome üks autoriteetsemaid veteranpoliitikuid , Max Jakobson intervjuus soomerootsi majandusajakirjale “ Forum för ekonomi och teknik ” käesoleva aasta aprillinumbris .",keerukas,teema,yes
104,"Mõlemad leidsid , et nende andmed ei lähe kokku JAICi omadega : kui ametlikus versioonis viisid kõik teooriad ***** tormi ning visiiri ja rambi vale konstruktsiooni tõttu toimunud õnnetuseni , siis nii Jutta kui ka Henning olid jõudnud järeldusele , et Estoniale tehti kallaletung .",suur,torm,yes
105,"Mõlemad leidsid , et nende andmed ei lähe kokku JAICi omadega : kui ametlikus versioonis viisid kõik teooriad ***** tormi ning visiiri ja rambi vale konstruktsiooni tõttu toimunud õnnetuseni , siis nii Jutta kui ka Henning olid jõudnud järeldusele , et Estoniale tehti kallaletung .",sügav,torm,no
106,Just tundmatute näitlejatega sai ta luua ***** legendi .,uus,legend,yes
107,Just tundmatute näitlejatega sai ta luua ***** legendi .,originaalne,legend,yes
108,"Raske on ette kirjutada , kus asub kellegi taluvuse ***** piir .",konkreetne,piir,yes
109,"Raske on ette kirjutada , kus asub kellegi taluvuse ***** piir .",väljakujunenud,piir,yes
110,"Ei siseministeeriumi kantsler Jaan Toots ega politseiameti peadirektor Ain Seppik taha vastata ajakirjaniku konkreetsele küsimusele : miks kasutab siseministeerium ja eriti selle kantsler justnagu politseile kuuluma ***** autosid , pealegi isiklikuks otstarbeks ning veel koos kõrgepalgalise isikliku autojuhiga !",pidav,auto,yes
111,"Ei siseministeeriumi kantsler Jaan Toots ega politseiameti peadirektor Ain Seppik taha vastata ajakirjaniku konkreetsele küsimusele : miks kasutab siseministeerium ja eriti selle kantsler justnagu politseile kuuluma ***** autosid , pealegi isiklikuks otstarbeks ning veel koos kõrgepalgalise isikliku autojuhiga !",kompaktne,auto,no
112,Ehkki ***** diplomaatidena ei näidanud nad oma nördimust avalikult välja .,osav,diplomaat,yes
113,Ehkki ***** diplomaatidena ei näidanud nad oma nördimust avalikult välja .,meisterlik,diplomaat,yes
114,"“ Eesti on nii ***** maa , et kui sind on korra missiks valitud , kannad sa seda tiitlit elu aeg .",väike,maa,yes
115,"“ Eesti on nii ***** maa , et kui sind on korra missiks valitud , kannad sa seda tiitlit elu aeg .",madal,maa,no
116,It Had To Be You - The Great American Songbook on Ameerika ***** laulude kogum .,klassikaline,laul,yes
117,It Had To Be You - The Great American Songbook on Ameerika ***** laulude kogum .,standardne,laul,no
118,"“ See on ***** kogemus , ” õhkab Madonna esimesele abieluaastale tagasi vaadates .",kirjeldamatu,kogemus,yes
119,"“ See on ***** kogemus , ” õhkab Madonna esimesele abieluaastale tagasi vaadates .",ebatavaline,kogemus,yes
120,"Nii pehme ja mõnus nagu kaisukaru , ***** silmade ja nahaga ...",hele,silm,yes
121,"Nii pehme ja mõnus nagu kaisukaru , ***** silmade ja nahaga ...",valge,silm,yes
122,"1935. aasta jaanuaris peetud kõnes toonitas Konstantin Päts : “ ***** valitsejad ei tarvitsenud muretseda selle eest , kuidas rahvamajandus areneb - vaba võistlus oli kaubanduse ja tööstuse alus .",endine,valitseja,yes
123,"1935. aasta jaanuaris peetud kõnes toonitas Konstantin Päts : “ ***** valitsejad ei tarvitsenud muretseda selle eest , kuidas rahvamajandus areneb - vaba võistlus oli kaubanduse ja tööstuse alus .",omaaegne,valitseja,yes
124,"Loodetakse , et elanike abiga kurjategijate elu ja tegevuse võimalikult ***** ja nähtavaks muutmine peaks tulevikus hakkama kuritegusid ennetama .",ebamugav,muutmine,yes
125,"Loodetakse , et elanike abiga kurjategijate elu ja tegevuse võimalikult ***** ja nähtavaks muutmine peaks tulevikus hakkama kuritegusid ennetama .",tume,muutmine,no
126,***** publiku kogemus olevat neil taskus teistest Tartu pillibändidest .,suur,publik,yes
127,***** publiku kogemus olevat neil taskus teistest Tartu pillibändidest .,lai,publik,yes
128,Astumine Euroopa Liitu ongi olnud ***** tegur Soome murrangus .,keskne,tegur,yes
129,Astumine Euroopa Liitu ongi olnud ***** tegur Soome murrangus .,keskmine,tegur,no
130,See on ***** teadmine .,suur,teadmine,yes
131,See on ***** teadmine .,sügav,teadmine,yes
132,Botaanikaaias valitses kolmapäeval ***** ja pingevaba õhkkond .,sõbralik,õhkkond,yes
133,Botaanikaaias valitses kolmapäeval ***** ja pingevaba õhkkond .,isalik,õhkkond,no
134,"“ ***** saatusega koer , kel on peremehed üha vahetunud .",keeruline,saatus,yes
135,"“ ***** saatusega koer , kel on peremehed üha vahetunud .",mõtlemapanev,saatus,yes
136,"Nazarbajevi ühe tütre mees Timur Kulibajev on ***** nafta- ja gaasitranspordikompanii peadirektor , teise tütre abikaasa Rahat Alijev töötab riikliku julgeolekukomitee asejuhina , presidendi ja tema abikaasa lähisugulaste käes on ka riikliku naftakompanii Kazakhoil asepresidendi ning kuuldavasti ka julgeolekunõukogu sekretäri koht .",riiklik,nafta,yes
137,"Nazarbajevi ühe tütre mees Timur Kulibajev on ***** nafta- ja gaasitranspordikompanii peadirektor , teise tütre abikaasa Rahat Alijev töötab riikliku julgeolekukomitee asejuhina , presidendi ja tema abikaasa lähisugulaste käes on ka riikliku naftakompanii Kazakhoil asepresidendi ning kuuldavasti ka julgeolekunõukogu sekretäri koht .",riigisisene,nafta,no
138,"Kuni seadust pole , on pataljoni asemel ***** rahuoperatsioonide keskus ( ROK ) Paldiskis .",rahvuslik,keskus,yes
139,"Kuni seadust pole , on pataljoni asemel ***** rahuoperatsioonide keskus ( ROK ) Paldiskis .",etniline,keskus,no
140,Esialgu olen Estonias ja lõpetan ***** tööd ära .,poolik,töö,yes
141,Esialgu olen Estonias ja lõpetan ***** tööd ära .,osaline,töö,no
142,"Neil on 5,2 miljonit krooni maksnud ***** villa Madridi jõuka keskklassi elamurajoonis Los Penas Caleses ja aasta tagasi 2,3 miljoni eest ostetud korter meeletute pidude poolest kuulsal Vahemere saarel Ibizal .",modernne,villa,yes
143,"Neil on 5,2 miljonit krooni maksnud ***** villa Madridi jõuka keskklassi elamurajoonis Los Penas Caleses ja aasta tagasi 2,3 miljoni eest ostetud korter meeletute pidude poolest kuulsal Vahemere saarel Ibizal .",moekas,villa,yes
144,"Kõige kehvemini on majandusreformid kulgenud n-ö sõjajärgsetes riikides , kus keskvõim pole suutnud inimestele tagada isegi ***** hüvesid .",esmane,hüve,yes
145,"Kõige kehvemini on majandusreformid kulgenud n-ö sõjajärgsetes riikides , kus keskvõim pole suutnud inimestele tagada isegi ***** hüvesid .",algupärane,hüve,no
146,"“ Lihtrahva heaolu edasiseks parandamiseks tuleb nüüd käibemaksuga maksustada haridust ja harimiseks ***** õpikuid , ” märgib Tammert , “ sest teadus on oma uurimistöös olnud ilmselt liiga edukas ja ajakirjandus rahva valgustamisel samuti , siis tuleb neidki edaspidi koormata käibemaksuga .",vajalik,õpik,yes
147,"“ Lihtrahva heaolu edasiseks parandamiseks tuleb nüüd käibemaksuga maksustada haridust ja harimiseks ***** õpikuid , ” märgib Tammert , “ sest teadus on oma uurimistöös olnud ilmselt liiga edukas ja ajakirjandus rahva valgustamisel samuti , siis tuleb neidki edaspidi koormata käibemaksuga .",hädavajalik,õpik,yes
148,"Ent mitme sambaga pensionisüsteemi juurutamist võivad takistada ***** opositsioon ja nõrk haldussuutlikkus , hoiatab Maailmapank .",poliitiline,opositsioon,yes
149,"Ent mitme sambaga pensionisüsteemi juurutamist võivad takistada ***** opositsioon ja nõrk haldussuutlikkus , hoiatab Maailmapank .",riiklik,opositsioon,yes
150,Tõmbaksin ukse rahulikult kinni ja pakiks asjad oma ***** kotti .,suur,kott,yes
151,Tõmbaksin ukse rahulikult kinni ja pakiks asjad oma ***** kotti .,sügav,kott,yes
152,Meeskonnad olid ***** kogemustega .,väike,kogemus,yes
153,Meeskonnad olid ***** kogemustega .,noor,kogemus,no
154,"Kui pankurid satuvad äkksurmaeelsesse seisundisse vaid aeg-ajalt , siis praegune maksukorraldus viib äkksurmaohtu iga ***** ja vastutustundelise raamatupidaja .",aus,raamatupidaja,yes
155,"Kui pankurid satuvad äkksurmaeelsesse seisundisse vaid aeg-ajalt , siis praegune maksukorraldus viib äkksurmaohtu iga ***** ja vastutustundelise raamatupidaja .",otsekohene,raamatupidaja,yes
156,"“ Meil kõigil peaks ka siinsel väiksel turul olema ***** tingimused , kuid ei ole .",võrdne,tingimus,yes
157,"“ Meil kõigil peaks ka siinsel väiksel turul olema ***** tingimused , kuid ei ole .",aus,tingimus,yes
158,Eesti kunstielus on teooria alati ***** osa etendanud .,silmapaistev,osa,yes
159,Eesti kunstielus on teooria alati ***** osa etendanud .,tuntav,osa,yes
160,"Ta on jumala säraga kokk , kellele on antud võime kujutada ette ***** maitseid .",uus,maitse,yes
161,"Ta on jumala säraga kokk , kellele on antud võime kujutada ette ***** maitseid .",originaalne,maitse,yes
162,"Savisaare ***** , 10. - 15. detsembrini toimuv visiit Tokyosse sumomaadluse MM-võistlusele on senise reisiplaani loogiline jätk .",järgmine,visiit,yes
163,"Savisaare ***** , 10. - 15. detsembrini toimuv visiit Tokyosse sumomaadluse MM-võistlusele on senise reisiplaani loogiline jätk .",järgnev,visiit,yes
164,"Seitsmekümnendate aastate kontseptualismis alguse saanud märgiliste koondkujundite loomine sotsiaalses ( poliitilises , esteetilises ) kontekstis on viimasel aastakümnel kujunenud eesti kunsti tugevaks küljeks , arenedes suurejooneliste näituseprojektideni , nagu näiteks rahvuslikku sümboolikat ***** kujundisse kokkuvõtvad projektid .",kunstiline,kujund,yes
165,"Seitsmekümnendate aastate kontseptualismis alguse saanud märgiliste koondkujundite loomine sotsiaalses ( poliitilises , esteetilises ) kontekstis on viimasel aastakümnel kujunenud eesti kunsti tugevaks küljeks , arenedes suurejooneliste näituseprojektideni , nagu näiteks rahvuslikku sümboolikat ***** kujundisse kokkuvõtvad projektid .",graafiline,kujund,yes
166,"See on üsna ***** küsimus , aga eks paista .",valus,küsimus,yes
167,"See on üsna ***** küsimus , aga eks paista .",karm,küsimus,yes
168,"Nad on nagu tugisambad või nurgakivid , ***** molekulid , mis ümbritsevaid molekule koos hoiavad , ” räägib Dajan Ahmet , kes koos Viilmaga võttis paar aastat tagasi ette retke Sai Baba juurde Indiasse .",keskne,molekul,yes
169,"Nad on nagu tugisambad või nurgakivid , ***** molekulid , mis ümbritsevaid molekule koos hoiavad , ” räägib Dajan Ahmet , kes koos Viilmaga võttis paar aastat tagasi ette retke Sai Baba juurde Indiasse .",keskmine,molekul,no
170,"***** kindlust , et see oli enesetapp , mitte tapmine , ei leia kunagi .",lõplik,kindlus,yes
171,"***** kindlust , et see oli enesetapp , mitte tapmine , ei leia kunagi .",viimane,kindlus,no
172,Kodade juhtkonnad valiti ***** elukutsete esindajate poolt .,vastav,elukutse,yes
173,Kodade juhtkonnad valiti ***** elukutsete esindajate poolt .,asjatundlik,elukutse,no
174,"Järjekordne näide sellest , kui vaevaline ja okkaline võib ebasoodsates oludes olla ***** teoste pääs lausa sugulaskeelde .",silmapaistev,teos,yes
175,"Järjekordne näide sellest , kui vaevaline ja okkaline võib ebasoodsates oludes olla ***** teoste pääs lausa sugulaskeelde .",kapitaalne,teos,no
176,Seega ei ole sojaubade tarbimisel ***** kõrvalmõjusid ja tehtud avastus võib saada aluseks uute vähiravimite väljatöötamisele .,kahjulik,kõrvalmõju,yes
177,Seega ei ole sojaubade tarbimisel ***** kõrvalmõjusid ja tehtud avastus võib saada aluseks uute vähiravimite väljatöötamisele .,ebaotstarbekas,kõrvalmõju,no
178,Peeter Ernits “ Paari-kolme aasta pärast saab ***** fenomeniks noorte Eesti juhtide asumine Soome firmade etteotsa .,uus,fenomen,yes
